"Según el art. 35.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, los actos serán motivados:", "Con sucinta referencia de hechos y fundamentos de derecho.", "Con extensa referencia a los hechos.", "Con sucinta referencia a los fundamentos de derecho.", "Con extensa referencia de hechos y fundamentos de derecho.", "a", "El artículo 35.1 de la Ley 39/2015 establece que los actos administrativos deben ser motivados con una sucinta referencia de hechos y fundamentos de derecho."
"Según el art. 40.4 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, a los solos efectos de entender cumplida la obligación de notificar dentro del plazo máximo de duración de los procedimientos, será suficiente la notificación que contenga, cuando menos:", "El texto íntegro de la resolución, con indicación de si pone fin o no a la vía administrativa, la expresión de los recursos que procedan, en su caso, en vía administrativa y judicial.", "Un extracto de la resolución, con indicación de si pone fin o no a la vía administrativa, la expresión de los recursos que procedan, en su caso, en vía administrativa y judicial.", "El texto íntegro de la resolución, así como el intento de notificación debidamente acreditado.", "El texto íntegro de la resolución, con indicación de si pone fin o no a la vía administrativa, la expresión de los recursos que procedan, así como el intento de notificación debidamente acreditado.", "a", "El artículo 40.4 de la Ley 39/2015 establece que a los solos efectos de entender cumplida la obligación de notificar dentro del plazo máximo de duración de los procedimientos, será suficiente la notificación que contenga, cuando menos, el texto íntegro de la resolución, con indicación de si pone fin o no a la vía administrativa, la expresión de los recursos que procedan, en su caso, en vía administrativa y judicial."
"Según el art. 41.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, ¿qué notificaciones no deben efectuarse por medios electrónicos?", "Aquellas en las que el acto a notificar vaya acompañado de elementos que no sean susceptibles de conversión en formato electrónico.", "Las que reconozcan derechos a favor de los interesados.", "Aquellas que contengan el texto íntegro de la resolución, con indicación de si pone fin o no a la vía administrativa.", "Todas las respuestas son correctas.", "a", "El artículo 41.2 de la Ley 39/2015 establece que no deben efectuarse por medios electrónicos aquellas notificaciones en las que el acto a notificar vaya acompañado de elementos que no sean susceptibles de conversión en formato electrónico."
"Según el art. 41.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, ¿cuál de las siguientes notificaciones no debe practicarse por medios electrónicos?", "Una notificación que contenga un medio de pago a favor del obligado.", "Una notificación que vaya acompañada de elementos susceptibles de conversión en formato electrónico.", "Una notificación que contenga una multa.", "Las respuestas a) y b) son correctas.", "a", "El artículo 41.2 de la Ley 39/2015 establece que no deben practicarse por medios electrónicos aquellas notificaciones que contengan un medio de pago a favor del obligado."
"Según el art. 41.5 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, si el interesado rechaza la notificación de una actuación administrativa:", "Se hará constar esta circunstancia en el expediente, junto con el día y la hora en que se intentó la notificación, intento que se repetirá por una sola vez y en una hora distinta dentro de los tres días siguientes.", "La notificación se hará por medio de un anuncio publicado en el Boletín Oficial del Estado.", "Se hará constar en el expediente, especificándose las circunstancias del intento de notificación y el medio, dando por efectuado el trámite y siguiéndose el procedimiento.", "Las respuestas a) y b) son correctas.", "a", "El artículo 41.5 de la Ley 39/2015 establece que si el interesado rechaza la notificación de una actuación administrativa, se hará constar esta circunstancia en el expediente, junto con el día y la hora en que se intentó la notificación, intento que se repetirá por una sola vez y en una hora distinta dentro de los tres días siguientes."
"Según el art. 41.6 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, si la Administración incumple la obligación de enviar un aviso al interesado informándole de la puesta a disposición de una notificación en la sede electrónica de la Administración:", "La notificación será considerada plenamente válida.", "La notificación incurrirá en un vicio de nulidad de pleno derecho.", "La notificación incurrirá en un vicio de anulabilidad.", "La notificación deberá repetirse.", "b", "El artículo 41.6 de la Ley 39/2015 establece que si la Administración incumple la obligación de enviar un aviso al interesado informándole de la puesta a disposición de una notificación en la sede electrónica de la Administración, la notificación incurrirá en un vicio de nulidad de pleno derecho."
"De acuerdo con el art. 41.7 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, si el interesado ha sido notificado por distintos cauces, se tomará como fecha de notificación:", "La que resulte más favorable para el interesado.", "La que se haya producido en último lugar.", "La que determine el interesado.", "La que se haya producido en primer lugar.", "d", "El artículo 41.7 de la Ley 39/2015 establece que si el interesado ha sido notificado por distintos cauces, se tomará como fecha de notificación la que se haya producido en primer lugar."
"Según el art. 42.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, cuando una notificación se practique en papel:", "No deberá ser puesta a disposición del interesado en la sede electrónica de la Administración.", "Deberá ser puesta a disposición del interesado en la sede electrónica de la Administración para que pueda acceder al contenido de la misma de forma voluntaria.", "El interesado deberá acceder a su contenido a través de la sede electrónica de la Administración.", "Deberá publicarse en la sede electrónica de la Administración para que el interesado pueda consultar su contenido.", "b", "El artículo 42.1 de la Ley 39/2015 establece que cuando una notificación se practique en papel, deberá ser puesta a disposición del interesado en la sede electrónica de la Administración para que pueda acceder al contenido de la misma de forma voluntaria."
"Según el art. 42.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, relativo a la práctica de notificaciones en papel:", "Cuando el interesado accediera al contenido de la notificación en sede electrónica, el resto de notificaciones se practicarán través de medios electrónicos.", "Las notificaciones que se practiquen en papel podrán ser puestas a disposición del interesado en la sede electrónica.", "Cuando el interesado accediera al contenido de la notificación en sede electrónica, se le ofrecerá la posibilidad de que el resto de notificaciones se puedan realizar a través de medios electrónicos.", "Las notificaciones que se practiquen en papel no serán puestas a disposición del interesado en la sede electrónica.", "c", "El artículo 42.3 de la Ley 39/2015 establece que cuando el interesado accediera al contenido de la notificación en sede electrónica, se le ofrecerá la posibilidad de que el resto de notificaciones se puedan realizar a través de medios electrónicos."
"Según el art. 43.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, la notificación se entenderá rechazada cuando hayan transcurrido diez días naturales desde la puesta a disposición de la notificación sin que se acceda a su contenido:", "Cuando la notificación por medios electrónicos sea de carácter obligatorio.", "Cuando la notificación por medios electrónicos sea de carácter obligatorio, o haya sido expresamente elegida por el interesado.", "Cuando la notificación por medios electrónicos haya sido expresamente elegida por el interesado.", "Cuando la notificación por medios electrónicos sea de carácter voluntario, o haya sido expresamente elegida por el interesado.", "b", "El artículo 43.2 de la Ley 39/2015 establece que la notificación se entenderá rechazada cuando hayan transcurrido diez días naturales desde la puesta a disposición de la notificación sin que se acceda a su contenido, cuando la notificación por medios electrónicos sea de carácter obligatorio, o haya sido expresamente elegida por el interesado."
"Según el art. 43.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, se entenderá cumplida la obligación a la que se refiere el artículo 40.4:", "Con la puesta a disposición de la notificación en la sede electrónica o en la dirección electrónica habilitada única.", "Cuando hayan transcurrido diez días naturales desde la puesta a disposición de la notificación en la sede electrónica o en la dirección electrónica habilitada única.", "Cuando hayan transcurrido diez días hábiles desde la puesta a disposición de la notificación en la sede electrónica o en la dirección electrónica habilitada única.", "Cuando hayan transcurrido quince días hábiles desde la puesta a disposición de la notificación en la sede electrónica o en la dirección electrónica habilitada única.", "a", "El artículo 43.3 de la Ley 39/2015 establece que se entenderá cumplida la obligación a la que se refiere el artículo 40.4 con la puesta a disposición de la notificación en la sede electrónica o en la dirección electrónica habilitada única."
"Según el art. 43 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, relativo a la práctica de las notificaciones a través de medios electrónicos:", "Los interesados podrán acceder a las notificaciones desde el Punto de Acceso General electrónico de la Administración, que funcionará como un portal de acceso.", "Se entiende por comparecencia en la sede electrónica, el acceso por el interesado o su representante debidamente identificado al contenido de la notificación.", "Las notificaciones se entenderán practicadas en el momento de la puesta a disposición de la notificación en la sede electrónica de la Administración.", "Las respuestas a) y b) son correctas.", "d", "El artículo 43 de la Ley 39/2015 establece que los interesados podrán acceder a las notificaciones desde el Punto de Acceso General electrónico de la Administración, que funcionará como un portal de acceso, y que se entiende por comparecencia en la sede electrónica, el acceso por el interesado o su representante debidamente identificado al contenido de la notificación."
"Según el art. 44 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, ¿en qué supuestos debe practicarse la notificación mediante anuncios?", "Cuando los interesados en un procedimiento sean desconocidos o bien se ignore el lugar de la notificación.", "Cuando los interesados en un procedimiento sean desconocidos o bien se ignore el lugar de la notificación, y cuando los interesados hayan rechazado la notificación.", "Cuando los interesados en un procedimiento sean desconocidos, se ignore el lugar de la notificación o bien, intentada ésta, no se hubiese podido practicar.", "Cuando los interesados en un procedimiento sean desconocidos o hayan rechazado la notificación, cuando se ignore el lugar de la notificación o bien, intentada ésta, no se hubiese podido practicar.", "c", "El artículo 44 de la Ley 39/2015 establece que debe practicarse la notificación mediante anuncios cuando los interesados en un procedimiento sean desconocidos, se ignore el lugar de la notificación o bien, intentada ésta, no se hubiese podido practicar."
"Según el art. 44 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, relativo a la notificación infructuosa:", "Las Administraciones Públicas establecerán otras formas de notificación complementarias a través de los restantes medios de difusión, que no excluirán la obligación de publicar el correspondiente anuncio en el «Boletín Oficial del Estado».", "Las Administraciones Públicas podrán establecer otras formas de notificación complementarias a través de los restantes medios de difusión, que no excluirán la obligación de publicar el correspondiente anuncio en el «Boletín Oficial del Estado».", "Las Administraciones Públicas podrán establecer otras formas de notificación complementarias a través de los restantes medios de difusión, que excluirán la obligación de publicar el correspondiente anuncio en el «Boletín Oficial del Estado».", "Las Administraciones Públicas establecerán otras formas de notificación complementarias a través de los restantes medios de difusión, que excluirán la obligación de publicar el correspondiente anuncio en el «Boletín Oficial del Estado».", "b", "El artículo 44 de la Ley 39/2015 establece que las Administraciones Públicas podrán establecer otras formas de notificación complementarias a través de los restantes medios de difusión, que no excluirán la obligación de publicar el correspondiente anuncio en el «Boletín Oficial del Estado»."
"Según el art. 44 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, la publicación de un anuncio en el boletín oficial de la Comunidad Autónoma o de la Provincia en los casos de notificación infructuosa:", "Es obligatoria y se hará previamente a la publicación del anuncio en el «Boletín Oficial del Estado».", "Es facultativa y se hará previamente a la publicación del anuncio en el «Boletín Oficial del Estado».", "Es obligatoria y se hará después de la publicación del anuncio en el «Boletín Oficial del Estado».", "Es facultativa y se hará después de la publicación del anuncio en el «Boletín Oficial del Estado».", "b", "El artículo 44 de la Ley 39/2015 establece que la publicación de un anuncio en el boletín oficial de la Comunidad Autónoma o de la Provincia en los casos de notificación infructuosa es facultativa y se hará previamente a la publicación del anuncio en el «Boletín Oficial del Estado»."
"Indique cuál de las siguientes afirmaciones es correcta según el art. 45.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, relativo a la publicación de actos administrativos:", "Los actos administrativos serán objeto de publicación cuando así lo establezcan las normas reguladoras de cada procedimiento o cuando lo aconsejen razones de interés público apreciadas por el órgano competente.", "La publicación de los actos se realizará siempre en el «Boletín Oficial del Estado», con independencia de cual sea la Administración de la que proceda el acto a notificar.", "Todos los actos integrantes de un procedimiento selectivo o de concurrencia competitiva se publicarán obligatoriamente en el diario oficial que corresponda.", "Todos los actos que afecten a una pluralidad de personas se publicarán obligatoriamente en el diario oficial que corresponda.", "a", "El artículo 45.1 de la Ley 39/2015 establece que los actos administrativos serán objeto de publicación cuando así lo establezcan las normas reguladoras de cada procedimiento o cuando lo aconsejen razones de interés público apreciadas por el órgano competente."
"Según el art. 45.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, ¿cuál de los siguientes actos administrativos deberá ser publicado?", "Un acto que tenga por destinatario a una pluralidad indeterminada de personas.", "Un acto que tenga por destinatarias a más de diez personas.", "Un acto que tenga por destinatario a una persona que ha rechazado la notificación.", "Todas las respuestas son correctas.", "a", "El artículo 45.1 de la Ley 39/2015 establece que deberá ser publicado un acto que tenga por destinatario a una pluralidad indeterminada de personas."
"Según el art. 46 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, si el órgano competente aprecia que la notificación por medio de anuncios o la publicación de un acto lesiona derechos o intereses legítimos:", "Se limitará a publicar en el Diario oficial que corresponda una somera indicación del contenido del acto y del lugar donde los interesados podrán comparecer.", "Se limitará a publicar en el «Boletín Oficial del Estado» una somera indicación del contenido del acto y del lugar donde los interesados podrán comparecer.", "Se limitará a publicar en el Diario oficial que corresponda una somera indicación del contenido del acto y del lugar donde todos los ciudadanos podrán comparecer.", "Se limitará a publicar en el «Boletín Oficial del Estado» el texto íntegro del acto y el lugar donde los interesados podrán comparecer.", "a", "El artículo 46 de la Ley 39/2015 establece que si el órgano competente aprecia que la notificación por medio de anuncios o la publicación de un acto lesiona derechos o intereses legítimos, se limitará a publicar en el Diario oficial que corresponda una somera indicación del contenido del acto y del lugar donde los interesados podrán comparecer."
"Según el art. 47.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, ¿cuál de los siguientes actos es nulo de pleno derecho?", "El que se dicte por un órgano manifiestamente incompetente por razón del territorio.", "El que contenga un defecto de forma.", "El que restrinja derechos de los ciudadanos.", "Todas las respuestas son correctas.", "a", "El artículo 47.1 de la Ley 39/2015 establece que es nulo de pleno derecho el acto que se dicte por un órgano manifiestamente incompetente por razón del territorio."
"Según el art. 47.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, son nulas de pleno derecho las disposiciones administrativas:", "Que vulneren la Constitución, las leyes, las disposiciones y los actos administrativos de rango superior, las que regulen materias reservadas a la Ley, y las que establezcan la retroactividad de disposiciones sancionadoras no favorables o restrictivas de derechos individuales.", "Que vulneren la Constitución, las leyes u otras disposiciones administrativas de rango superior, las que regulen materias reservadas a la Ley, y las que establezcan la irretroactividad de disposiciones sancionadoras no favorables o restrictivas de derechos individuales.", "Que vulneren la Constitución, las leyes u otras disposiciones administrativas de rango superior, las que regulen materias reservadas a la Ley, y las que establezcan la retroactividad de disposiciones sancionadoras no favorables o restrictivas de derechos individuales.", "Que vulneren la Constitución, las leyes, las disposiciones y los actos administrativos de rango superior, las que regulen materias reservadas a la Ley, y las que establezcan la irretroactividad de disposiciones sancionadoras no favorables o restrictivas de derechos individuales.", "a", "El artículo 47.2 de la Ley 39/2015 establece que son nulas de pleno derecho las disposiciones administrativas que vulneren la Constitución, las leyes, las disposiciones y los actos administrativos de rango superior, las que regulen materias reservadas a la Ley, y las que establezcan la retroactividad de disposiciones sancionadoras no favorables o restrictivas de derechos individuales."
"Indique cuál de las siguientes afirmaciones es incorrecta según el art. 48.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas:", "Son anulables los actos de la Administración que incurran en cualquier infracción del ordenamiento jurídico, incluso la desviación de poder.", "El defecto de forma sólo determinará la anulabilidad cuando el acto carezca de los requisitos formales indispensables para alcanzar su fin o dé lugar a la indefensión de los interesados.", "La Administración podrá convalidar los actos anulables, subsanando los vicios de que adolezcan.", "La realización de actuaciones administrativas fuera del tiempo establecido para ellas implicará la nulidad del acto.", "d", "El artículo 48.3 de la Ley 39/2015 establece que la realización de actuaciones administrativas fuera del tiempo establecido para ellas no implica necesariamente la nulidad del acto, sino que puede ser anulable."
"Indique cuál de las siguientes afirmaciones es correcta según el art. 49.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas:", "La nulidad o anulabilidad en parte del acto administrativo no implicará la de las partes del mismo independientes de aquélla, siempre que la parte viciada sea de tal importancia que sin ella el acto administrativo no hubiera sido dictado.", "La nulidad o anulabilidad de un acto implicará la de los sucesivos en el procedimiento que sean independientes del primero.", "La nulidad de una parte del acto administrativo siempre determina la nulidad del resto de partes del acto.", "La nulidad o anulabilidad de un acto no implicará la de los sucesivos en el procedimiento que sean independientes del primero.", "a", "El artículo 49.1 de la Ley 39/2015 establece que la nulidad o anulabilidad en parte del acto administrativo no implicará la de las partes del mismo independientes de aquélla, siempre que la parte viciada sea de tal importancia que sin ella el acto administrativo no hubiera sido dictado."
"El art. 50 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, relativo a la conversión de actos viciados, establece que:", "Los actos nulos que, sin embargo, contengan los elementos constitutivos de otro distinto no producirán efectos jurídicos.", "Los actos nulos o anulables que, sin embargo, contengan los elementos constitutivos de otro distinto no producirán efectos jurídicos.", "Los actos anulables que, sin embargo, contengan los elementos constitutivos de otro distinto producirán los efectos de éste.", "Los actos nulos o anulables que, sin embargo, contengan los elementos constitutivos de otro distinto producirán los efectos de éste.", "d", "El artículo 50 de la Ley 39/2015 establece que los actos nulos o anulables que, sin embargo, contengan los elementos constitutivos de otro distinto producirán los efectos de éste."
"Según el art. 52.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, el acto de convalidación producirá efecto:", "Desde su fecha, salvo lo dispuesto en el artículo 39.3 para la retroactividad de los actos administrativos.", "Siempre desde que se dictó el acto convalidado, además de lo dispuesto en el artículo 39.3 para la retroactividad de los actos administrativos.", "Desde la notificación, salvo lo dispuesto en el artículo 39.3 para la retroactividad de los actos administrativos.", "Desde la notificación o publicación, salvo lo dispuesto en el artículo 39.3 para la retroactividad de los actos administrativos.", "a", "El artículo 52.2 de la Ley 39/2015 establece que el acto de convalidación producirá efecto desde su fecha, salvo lo dispuesto en el artículo 39.3 para la retroactividad de los actos administrativos."
"Indique cuál de las siguientes afirmaciones es correcta según el art. 52.4 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, relativo a la convalidación de actos administrativos:", "La Administración podrá convalidar los actos nulos o anulables, subsanando los vicios de que adolezcan.", "El acto de convalidación producirá efecto desde la notificación.", "Si el vicio consistiese en la falta de alguna autorización, podrá ser convalidado el acto mediante el otorgamiento de la misma por el órgano competente.", "Si el vicio consiste en incompetencia determinante de nulidad, la convalidación podrá realizarse por el órgano competente cuando sea superior jerárquico del que dictó el acto viciado.", "c", "El artículo 52.4 de la Ley 39/2015 establece que si el vicio consistiese en la falta de alguna autorización, podrá ser convalidado el acto mediante el otorgamiento de la misma por el órgano competente."
"Según el art. 112.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, los recursos de alzada y de reposición deben fundarse:", "En cualquier infracción del ordenamiento jurídico.", "En cualquiera de los motivos de nulidad o anulabilidad previstos en los artículos 47 y 48 de esta Ley.", "En cualquiera de los motivos de nulidad, anulabilidad o error material previstos en los artículos 47 y 48 de esta Ley.", "En cualquiera de los motivos de nulidad previstos en los artículos 47 y 48 de esta Ley.", "b", "El artículo 112.1 de la Ley 39/2015 establece que los recursos de alzada y de reposición deben fundarse en cualquiera de los motivos de nulidad o anulabilidad previstos en los artículos 47 y 48 de esta Ley."
"Según el art. 112.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, ¿contra qué actos de trámite se puede interponer un recurso administrativo?", "Contra los que deciden indirectamente el fondo del asunto, determinan la imposibilidad de continuar el procedimiento, o producen perjuicio a derechos e intereses legítimos.", "Contra los que deciden directa o indirectamente el fondo del asunto, determinan la imposibilidad de continuar el procedimiento, o producen perjuicio irreparable a derechos e intereses legítimos.", "Contra los que deciden directa o indirectamente el fondo del asunto, determinan la imposibilidad de continuar el procedimiento, producen indefensión o perjuicio irreparable a derechos e intereses legítimos.", "Contra los que deciden directa o indirectamente el fondo del asunto, determinan la imposibilidad de continuar el procedimiento, producen indefensión o perjuicio irreparable o lesionan expectativas e intereses intereses legítimos.", "c", "El artículo 112.1 de la Ley 39/2015 establece que se puede interponer un recurso administrativo contra los actos de trámite que deciden directa o indirectamente el fondo del asunto, determinan la imposibilidad de continuar el procedimiento, producen indefensión o perjuicio irreparable a derechos e intereses legítimos."
