"Indique la respuesta correcta en relación con los convenios. Según el artículo 47.1 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público:","No pueden ser formalizados con sujetos de derecho privado.","No pueden tener efectos jurídicos frente a terceros.","Pueden tener prestaciones propias de los contratos.","No pueden tener prestaciones propias de los contratos.","c","El artículo 47.1 de la Ley 40/2015 establece que los convenios pueden incluir prestaciones propias de los contratos, siempre que se ajusten a la normativa aplicable."
"En el acta de la sesión del órgano colegiado, a solicitud de los respectivos miembros del órgano, no figurará:","El voto contrario al acuerdo adoptado.","Su abstención y los motivos que la justifiquen.","El sentido del voto favorable.","La responsabilidad asumida por la abstención.","d","La responsabilidad asumida por la abstención no figura en el acta, según la normativa."
"Las diferentes administraciones públicas actúan y se relacionan con otras administraciones y entidades u organismos vinculados o dependientes de éstas de acuerdo con el principio:","De colaboración y coresponsabilidad.","De lealtad instrumental.","De interoperabilidad.","De lealtad institucional, cooperación y colaboración.","d","Las administraciones públicas actúan bajo los principios de lealtad institucional, cooperación y colaboración, según la normativa."
"Según el artículo 16 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, ¿cuáles son las funciones del secretario de un órgano colegiado?","Únicamente garantizar que las reglas de constitución de los órganos se cumplen adecuadamente.","Velar por la legalidad formal y material de las actuaciones del órgano colegiado, certificar sus actuaciones y garantizar que los procedimientos y reglas de constitución y adopción de acuerdos son respetadas.","Establecer los procedimientos que deben seguirse para adoptar acuerdos.","Sólo puede asistir a las sesiones de los órganos colegiados.","b","El secretario del órgano colegiado vela por la legalidad, certifica actuaciones y garantiza el cumplimiento de procedimientos, según el artículo 16 de la Ley 40/2015."
"¿Quién puede solicitar al secretario de un órgano colegiado la expedición de la certificación de sus acuerdos?","Quienes acrediten la titularidad de un interés legítimo.","Cualquier persona.","Nadie.","Sólo los miembros del órgano.","a","Solo quienes acrediten un interés legítimo pueden solicitar la certificación de acuerdos, según la normativa."
"Según lo dispuesto en el artículo 18 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, el acta de la sesión de un órgano colegiado debe incluir:","Sólo los asistentes y el contenido de los acuerdos adoptados.","Los asistentes, el orden del día de la reunión, las circunstancias del lugar y tiempo en que se ha celebrado, los principales puntos de las deliberaciones, así como el contenido de los acuerdos adoptados.","Únicamente el orden del día y el contenido de los acuerdos adoptados.","Sólo los asistentes y circunstancias del lugar y tiempo en que se ha celebrado.","b","El acta debe incluir asistentes, orden del día, circunstancias de la reunión, deliberaciones y acuerdos, según el artículo 18 de la Ley 40/2015."
"Señale la respuesta correcta en relación con el momento en que debe aprobarse el acta de cada sesión:", "Se tendrá que aprobar en la misma reunión.", "Sólo se puede aprobar en la siguiente reunión.", "Podrá aprobarse en la misma reunión o en la siguiente inmediata", "Se tendrá que aprobar en la última reunión.", "c", "Según el artículo 19.3 de la Ley 40/2015, el acta de cada sesión podrá aprobarse en la misma reunión o en la siguiente inmediata."
"¿Cuál de las siguientes funciones no corresponde al presidente de los órganos colegiados de la Administración General del Estado y de las entidades de derecho público vinculadas o que dependen de las mismas?", "Visar las actas y certificaciones de los acuerdos del órgano.", "Asegurar el cumplimiento de las leyes.", "Acordar la convocatoria de las sesiones ordinarias y extraordinarias y la fijación del orden del día, teniendo en cuenta, en su caso, las peticiones de los demás miembros, siempre que hayan sido formuladas con la suficiente antelación.", "Expedir certificaciones de las consultas, dictámenes y acuerdos aprobados.", "d", "Según el artículo 18.2 de la Ley 40/2015, la expedición de certificaciones de las consultas, dictámenes y acuerdos aprobados es una función del secretario, no del presidente."
"Cuál de las siguientes funciones no corresponde al secretario de los órganos colegiados de la Administración General del Estado y de entidades de derecho público vinculadas o dependientes?", "Ejercer la representación del órgano.", "Expedir certificaciones de las consultas, dictámenes y acuerdos aprobados.", "Preparar el despacho de los asuntos, redactar y autorizar las actas de las sesiones.", "Recibir los actos de comunicación de los miembros con el órgano, sean notificaciones, peticiones de datos, rectificaciones o cualquier otra clase de escritos de los que deba tener conocimiento.", "a", "Según el artículo 18.3 de la Ley 40/2015, el secretario no tiene la función de ejercer la representación del órgano, que es una función del presidente."
"Señale la respuesta incorrecta. Según el artículo 19 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, los miembros de los órganos colegiados de la Administración General del Estado y de las entidades de derecho público vinculadas o que dependen:", "Tienen que recibir, con una antelación mínima de dos días, la convocatoria que contenga el orden del día de las reuniones.", "Deben obtener la información necesaria para cumplir las funciones asignadas.", "Deben participar en los debates de las sesiones.", "Tienen que recibir, con una antelación mínima de una semana, la convocatoria que contenga el orden del día de las reuniones.", "d", "Según el artículo 19.2 de la Ley 40/2015, los miembros deben recibir la convocatoria con una antelación mínima de dos días, no de una semana."
"¿En qué casos los miembros titulares del órgano colegiado de la Administración General del Estado y de las entidades de derecho público vinculadas o dependientes son sustituidos por sus suplentes, si los hubiere?", "En casos de ausencia o enfermedad.", "Siempre que lo soliciten.", "Cuando lo soliciten las organizaciones representativas.", "En general, aunque no exista causa justificada.", "a", "Según el artículo 19.4 de la Ley 40/2015, los suplentes sustituyen a los titulares en casos de ausencia, enfermedad u otros supuestos justificados."
"¿En quiénes pueden delegar los órganos de las diferentes administraciones públicas el ejercicio de las competencias que tienen atribuidas?", "En otros órganos de la misma administración, aunque no sean jerárquicamente dependientes, o a los organismos públicos o entidades de derecho público vinculados o dependientes de estas administraciones públicas.", "En otros órganos de la propia administración, siempre que sean jerárquicamente dependientes.", "Siempre deben delegar en órganos de otra administración.", "Sólo en los organismos públicos o entidades de derecho público vinculados o dependientes de estas administraciones públicas.", "a", "Según el artículo 13.1 de la Ley 40/2015, la delegación puede realizarse en otros órganos de la misma administración, aunque no sean jerárquicamente dependientes, o en organismos públicos o entidades de derecho público vinculados o dependientes."
"¿Dónde debe publicarse la delegación de competencias y su revocación?", "Únicamente en el Boletín Oficial del Estado.", "Únicamente en el boletín de la comunidad autónoma o en el de la provincia.", "En el Boletín Oficial del Estado, en el de la comunidad autónoma o en el de la provincia, según la Administración a la que pertenezca el órgano delegante, y el ámbito territorial de competencia del mismo.", "No es necesario publicarla.", "c", "Según el artículo 13.3 de la Ley 40/2015, la delegación de competencias y su revocación deben publicarse en el Boletín Oficial correspondiente según la Administración y el ámbito territorial."
"Señale la respuesta incorrecta en relación con la delegación de competencias:", "Las resoluciones administrativas que se adopten por delegación deben indicar expresamente esta circunstancia y se considerarán dictadas por el órgano delegante.", "Salvo autorización expresa de una ley, no podrán delegarse las competencias que se ejerzan por delegación.", "La delegación no será revocable en ningún caso por el órgano que la haya conferido.", "El acuerdo de delegación de aquellas competencias atribuidas a órganos colegiados, para cuyo ejercicio se requiera un quórum o mayoría especial, se adoptará observando, en todo caso, ese quórum o mayoría.", "c", "Según el artículo 13.4 de la Ley 40/2015, la delegación es revocable en cualquier momento por el órgano que la haya conferido."
"¿En qué casos la realización de actividades de carácter material o técnico de la competencia de los órganos administrativos o de las entidades de derecho público puede ser encargada a otros órganos o entidades de derecho público de la misma o de diferente administración?", "Siempre que entre sus competencias se encuentren estas actividades, por razones de eficacia o cuando no se posean los medios técnicos idóneos para su ejercicio.", "Siempre que entre sus competencias se encuentren estas actividades, por razones de eficacia, aunque se posean los medios técnicos idóneos para ejercerlas.", "Por razones técnicas y siempre que no se posean los medios para su ejercicio.", "Siempre por razones de eficiencia y eficacia.", "a", "Según el artículo 14.1 de la Ley 40/2015, el encargo de actividades se realiza por razones de eficacia o falta de medios técnicos idóneos."
"¿Dónde debe publicarse el encargo de gestión entre órganos y entidades de derecho público de diferentes administraciones?", "Únicamente en el Boletín Oficial del Estado.", "Únicamente en el boletín de la comunidad autónoma o en el de la provincia.", "En el Boletín Oficial del Estado, en el de la comunidad autónoma o en el de la provincia, según la Administración a la que pertenezca el órgano que efectúa el encargo, salvo en el supuesto de la gestión ordinaria de los servicios de las comunidades autónomas por las diputaciones provinciales o en su caso cabildos o consejos insulares, que se rige por la legislación de régimen local.", "No es necesario publicarla.", "c", "Según el artículo 14.3 de la Ley 40/2015, el encargo de gestión debe publicarse en el Boletín Oficial correspondiente, salvo en casos de gestión ordinaria."
"Señale la respuesta incorrecta en relación con la suplencia prevista en el artículo 13 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público:", "Si no se designa suplente, la competencia del órgano administrativo será ejercida por quien designe el órgano administrativo inmediato superior de quien dependa.", "La suplencia no implica alteración de la competencia.", "Los titulares de los órganos administrativos pueden ser suplidos temporalmente en los supuestos de vacante, ausencia o enfermedad, así como en los casos en que haya sido declarada su abstención o recusación.", "Para su validez es necesaria la publicación.", "d", "Según el artículo 13.5 de la Ley 40/2015, la suplencia no requiere publicación para su validez."
"¿Qué debe hacer el órgano administrativo que se considere incompetente para la resolución de un asunto?", "Remitir directamente las actuaciones al órgano que considere competente y notificar esta circunstancia a los interesados.", "Remitir a través de un jerárquico superior las actuaciones al órgano que considere competente.", "Remitir directamente las actuaciones al órgano que considere competente, sin necesidad de notificar esta circunstancia a los interesados.", "Dictar una resolución en la que se declare incompetente y notificarla a los interesados.", "a", "Según el artículo 16.1 de la Ley 40/2015, el órgano que se considere incompetente debe remitir las actuaciones al órgano competente y notificar a los interesados."
"Señale la afirmación correcta:", "Los interesados, tanto si son parte en el procedimiento como si no, pueden dirigirse al órgano que esté conociendo de un asunto para que decline su competencia y remita las actuaciones al órgano competente.", "Los conflictos de atribuciones sólo podrán suscitarse entre órganos de una misma administración no relacionados jerárquicamente, y en lo que se refiere a asuntos sobre los que no haya finalizado el procedimiento administrativo.", "Los interesados no pueden dirigirse al órgano que consideren competente para que requiera de inhibición a lo que esté conociendo del asunto.", "Los conflictos de atribuciones sólo podrán suscitarse entre órganos de una misma Administración que estén relacionados jerárquicamente, y en lo que se refiere a asuntos sobre los que haya finalizado el procedimiento administrativo.", "a", "Según el artículo 16.2 de la Ley 40/2015, los interesados pueden solicitar que el órgano decline su competencia y remita las actuaciones al órgano competente."
"Según el artículo 47.1 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, no tienen la consideración de convenios:", "Los acuerdos con efectos jurídicos interadministrativos.", "Los acuerdos con efectos jurídicos intraadministrativos.", "Los acuerdos con efectos jurídicos firmados entre administraciones públicas y entes de un sujeto de derecho internacional.", "Los protocolos generales de actuación o instrumentos similares.", "d", "Según el artículo 47.1 de la Ley 40/2015, los protocolos generales de actuación no tienen la consideración de convenios."
"Señale la respuesta incorrecta. Los convenios suscritos por las administraciones públicas, sus organismos públicos y entidades de derecho público vinculados o dependientes y las universidades públicas deben incluir:", "El régimen de recursos.", "Los sujetos que suscriben el convenio y la capacidad jurídica con la que actúa cada una de las partes.", "El régimen de modificación del convenio.", "El objeto del convenio y las actuaciones que debe llevar a cabo cada sujeto para su cumplimiento, indicando, en su caso, la titularidad de los resultados obtenidos.", "a", "Según el artículo 49 de la Ley 40/2015, el régimen de recursos no es un elemento obligatorio en los convenios."
"Señale la respuesta correcta en relación con el plazo de vigencia de un convenio:", "No puede ser superior a cuatro años, salvo que normativamente se prevea un plazo superior.", "En ningún caso podrá ser superior a cuatro años.", "No podrá ser superior a cinco años, salvo que se prevea normativamente un plazo superior.", "No podrá ser superior a tres años.", "a", "Según el artículo 49.2 de la Ley 40/2015, el plazo de vigencia de un convenio no puede ser superior a cuatro años, salvo que se prevea un plazo superior normativamente."
"¿Cuál de las siguientes causas no prevé el artículo 51 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público como causa de resolución de un convenio?", "El transcurso del plazo de vigencia del convenio sin haberse acordado la prórroga del convenio.", "El acuerdo unánime de todos los firmantes.", "El incumplimiento de las obligaciones y compromisos asumidos por parte de alguno de los firmantes.", "La renuncia verbal por parte de alguno de los firmantes.", "d", "Según el artículo 51 de la Ley 40/2015, la renuncia verbal no es una causa de resolución de un convenio."
"En el ámbito de la Administración General del Estado, la designación de suplente podrá efectuarse:", "En los reales decretos de estructura orgánica básica de los departamentos ministeriales o en los estatutos de sus organismos públicos y entidades vinculados o dependientes según corresponda.", "Únicamente en los estatutos de sus organismos públicos y entidades vinculados o dependientes según corresponda.", "En las resoluciones del Gobierno.", "Mediante ley.", "a", "Según el artículo 13.5 de la Ley 40/2015, la designación de suplente puede realizarse en los reales decretos de estructura orgánica básica o en los estatutos de los organismos públicos."
"Según señala el artículo 31 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, en relación con la concurrencia de sanciones, ¿qué ocurre si un órgano de la Unión Europea impone una sanción por unos mismos hechos?", "Que salvo que no concurra la identidad de sujeto y fundamento, el órgano competente para resolver la tendrá en cuenta a efectos de graduar la sanción que, en su caso, deba imponerse, y no la puede aminorar, sin perjuicio de declarar la comisión de la infracción.", "Que siempre que no concurra la identidad de sujeto y fundamento, el órgano competente para resolver lo tendrá en cuenta a efectos de graduar la sanción que, en su caso, deba imponerse, y no la puede minorar, en el momento de declarar la comisión de la infracción.", "Que siempre que no concurra la identidad de sujeto y fundamento, el órgano competente para resolver debe tenerlo en cuenta a efectos de graduar la sanción que, en su caso, deba imponerse, y la puede minorar, sin perjuicio de declarar la comisión de la infracción.", "Que siempre que concurra la identidad de sujeto y fundamento, el órgano competente para resolver la tendrá en cuenta a efectos de graduar la sanción que, en su caso, deba imponerse, pudiendo minorarla , sin perjuicio de declarar la comisión de la infracción.", "d", "Según el artículo 31 de la Ley 40/2015, si concurre la identidad de sujeto y fundamento, el órgano competente puede minorar la sanción."
"¿Cómo define el artículo 39 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, el portal de Internet?", "Como aquella dirección electrónica, disponible para los ciudadanos a través de redes de telecomunicaciones, cuya titularidad corresponde a una administración pública, o bien a uno o varios organismos públicos o entidades de derecho público en el ejercicio de sus competencias.", "Como aquella sede que permite realizar cualquier acto o actuación de forma íntegra a través de medios electrónicos en el marco de un procedimiento administrativo.", "Como aquel punto de acceso electrónico cuya titularidad corresponde a una administración pública, organismo público o entidades de derecho público que permite acceder a través de internet a la información publicada y, en su caso, a la correspondiente sede electrónica.", "Como aquella sede virtual cuya titularidad corresponde a una AP organismo público o entidades de derecho público que permite acceder a través de internet a la información publicada y, en su caso, a la dirección electrónica correspondiente.", "c", "Según el artículo 39 de la Ley 40/2015, el portal de Internet es un punto de acceso electrónico que permite acceder a la información publicada y, en su caso, a la sede electrónica."
"Según la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, las conferencias sectoriales se reúnen:", "Dos veces al año.", "Al menos una vez al año.", "Al menos una vez cada semestre.", "Una vez cada dos años.", "b", "Según el artículo 149 de la Ley 40/2015, las conferencias sectoriales se reúnen al menos una vez al año."
"En los convenios debe indicarse su plazo de vigencia y en la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, se señalan una serie de reglas, ¿cuál de las siguientes es una?", "Que en cualquier momento anterior a la finalización del plazo previsto en el apartado h) del artículo 49, los firmantes del convenio pueden acordar unánimemente su prórroga por un período de hasta un año adicional o su extinción.", "Que en cualquier momento antes de la finalización del plazo previsto en el apartado h) del artículo 49, los firmantes del convenio pueden acordar unánimemente su prórroga por un período de hasta dos años adicionales o su extinción.", "Que en cualquier momento anterior a la finalización del plazo previsto en el apartado h) del artículo 49, los firmantes del convenio pueden acordar unánimemente su prórroga por un período de hasta cuatro años adicionales o su extinción.", "Que en cualquier momento antes de la finalización del plazo previsto en el apartado h) del artículo 49, los firmantes del convenio pueden acordar unánimemente su prórroga por un período de hasta cinco años adicionales o su extinción.", "a", "Según el artículo 49 de la Ley 40/2015, los convenios pueden prorrogarse por un período de hasta un año adicional si así lo acuerdan unánimemente los firmantes antes de la finalización del plazo previsto."
"¿A qué consecuencia da lugar la resolución de un convenio según el artículo 52 la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público?", "A la comunicación a los órganos de control externo y fiscalización a efectos de determinar las obligaciones de las partes y los compromisos de cada una de las partes.", "A su liquidación a fin de determinar las obligaciones y compromisos de cada una de las partes.", "A la satisfacción de ambas partes con arreglo a las reglas contenidas en el convenio.", "A la comunicación al Tribunal de Cuentas a fin de determinar, con carácter previo a su liquidación, las obligaciones y compromisos que puedan corresponder a cada una de las partes.", "b", "El artículo 52 de la Ley 40/2015 establece que la resolución de un convenio da lugar a su liquidación para determinar las obligaciones y compromisos de cada una de las partes."
"Señale la opción incorrecta. Según la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, la creación de un órgano administrativo exige, al menos, el cumplimiento de los siguientes requisitos:", "La determinación de las unidades administrativas que lo integran.", "La dotación de los créditos necesarios para su puesta en marcha y funcionamiento.", "La delimitación de sus funciones y competencias.", "La determinación de su forma de integración en la Administración pública de que se trate.", "a", "El artículo 5 de la Ley 40/2015 no menciona la determinación de las unidades administrativas como requisito para la creación de un órgano administrativo."
"Señale la opción incorrecta. La Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, se aplica al sector público, que comprende las siguientes administraciones:", "La Administración General del Estado.", "La administración de las comunidades autónomas.", "El sector privado institucional.", "Las entidades que integran la Administración local.", "c", "El artículo 2 de la Ley 40/2015 no incluye al sector privado institucional como parte del sector público."
"Señale la opción correcta. Según lo dispuesto en el artículo 17.2 de la Ley 40/2015 , de 1 de octubre, de régimen jurídico del sector público, para la válida constitución de un órgano colegiado, a efectos de la celebración de sesiones, deliberaciones y toma de acuerdos, ¿de qué miembros se requiere la asistencia, presencial o a distancia?", "Del presidente y secretario o, en su caso, de quienes les suplan, y, al menos, de la mitad más uno de sus miembros.", "Del presidente y secretario o, en su caso, de quienes les suplan, y la del número de miembros que determine la norma de funcionamiento de cada órgano colegiado.", "Del presidente y secretario o, en su caso, de quienes les suplan, y la de un tercio, al menos, de sus miembros.", "Del presidente y secretario o, en su caso, de quienes les suplan, y la de la mitad, al menos, de sus miembros.", "d", "El artículo 17.2 de la Ley 40/2015 establece que se requiere la asistencia del presidente y secretario, o quienes les suplan, y de la mitad, al menos, de sus miembros."
