"De acuerdo con el artículo 116 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, en el expediente de contratación se justificará adecuadamente:","La decisión de dividir en lotes el objeto del contrato.","En los contratos de suministros, el informe de insuficiencia de medios.","El valor estimado del contrato con exclusión de los costes laborales.","La clasificación que se exige a los participantes.","a","El artículo 116 de la Ley 9/2017 establece que en el expediente de contratación se justificará adecuadamente la decisión de dividir en lotes el objeto del contrato."
"De acuerdo con el artículo 19 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, no se consideran sujetos a regulación armonizada, cualquiera que sea su valor estimado, los contratos siguientes:","Los que tengan por objeto la adquisición, el desarrollo, la producción o la coproducción de programas destinados a servicios de comunicación audiovisual o servicios de comunicación radiofónica, que sean adjudicados por proveedores del servicio de comunicación audiovisual o radiofónica, o los relativos al tiempo de radiodifusión o al suministro de programas que sean adjudicados a proveedores del servicio de comunicación audiovisual o radiofónica.","Los incluidos dentro del ámbito definido por el artículo 346 del Tratado de Funcionamiento de la Unión Europea que se concluyan en el sector de la defensa.","Los declarados secretos o reservados.","Todas las respuestas son correctas.","d","El artículo 19 de la Ley 9/2017 establece que los contratos mencionados en las opciones a, b y c no están sujetos a regulación armonizada."
"De acuerdo con el artículo 37.1 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, las entidades del sector público no podrán contratar verbalmente:","Nunca.","Salvo que el contrato tenga, conforme a lo señalado en el artículo 120.1, carácter de emergencia.","Salvo que el contrato se tramite de forma urgente.","Salvo que el contrato tenga consecuencias económicas.","a","El artículo 37.1 de la Ley 9/2017 establece que las entidades del sector público no podrán contratar verbalmente en ningún caso."
"El plazo para la presentación de las proposiciones en el procedimiento abierto simplificado abreviado previsto en el artículo 159.6 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014:","No podrá ser inferior a diez días hábiles, a contar desde el siguiente a la publicación del anuncio de licitación en el perfil de contratante. No obstante, cuando se trate de compras corrientes de bienes disponibles en el mercado el plazo será de 5 días hábiles.","No podrá ser inferior a diez días naturales, a contar desde el siguiente a la publicación del anuncio de licitación en el perfil de contratante. No obstante, cuando se trate de compras corrientes de bienes disponibles en el mercado el plazo será de 5 días naturales.","No podrá ser inferior a diez días naturales, a contar desde el siguiente a la publicación del anuncio de licitación en el perfil de contratante. No obstante, cuando se trate de compras corrientes de bienes disponibles en el mercado el plazo será de 5 días hábiles.","No podrá ser inferior a quince días naturales, a contar desde el siguiente a la publicación del anuncio de licitación en el perfil de contratante. No obstante, cuando se trate de compras corrientes de bienes disponibles en el mercado el plazo será de 5 días hábiles.","a","El artículo 159.6 de la Ley 9/2017 establece que el plazo para la presentación de proposiciones en el procedimiento abierto simplificado abreviado no podrá ser inferior a diez días hábiles, salvo en el caso de compras corrientes de bienes disponibles en el mercado, donde el plazo será de cinco días hábiles."
"Señale la respuesta incorrecta. De acuerdo con el artículo 29 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, respecto a la prórroga del contrato:","El contrato podrá prever una o varias prórrogas siempre que sus características permanezcan inalterables durante el período de duración de estas.","La prórroga se acordará por el órgano de contratación y será obligatoria para el empresario, siempre que su preaviso se produzca al menos con dos meses de antelación a la finalización del plazo de duración del contrato, salvo que en el pliego que rija el contrato se establezca uno mayor.","La prórroga se acordará por el órgano de contratación y será potestativa para el empresario, siempre que su preaviso se produzca al menos con dos meses de antelación a la finalización del plazo de duración del contrato, salvo que en el pliego que rija el contrato se establezca uno mayor.","Quedan exceptuados de la obligación de preaviso los contratos cuya duración fuera inferior a dos meses.","c","El artículo 29 de la Ley 9/2017 establece que la prórroga será obligatoria para el empresario, no potestativa, siempre que se cumplan las condiciones mencionadas."
"De acuerdo con el artículo 36.1 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, los contratos que celebren los poderes adjudicadores, a excepción de los contratos menores y de los contratos basados en un acuerdo marco y los contratos específicos en el marco de un sistema dinámico de adquisición a los que se refiere el apartado 3 de este artículo, se perfeccionan:","Con su adjudicación.","Con su aprobación.","Con su formalización.","Con su publicación.","c","El artículo 36.1 de la Ley 9/2017 establece que los contratos se perfeccionan con su formalización, excepto los contratos menores, los basados en un acuerdo marco y los contratos específicos en el marco de un sistema dinámico de adquisición."
"Señale la respuesta correcta. Cuando al vencimiento de un contrato no se hubiera formalizado el nuevo contrato que garantice la continuidad de la prestación a realizar por el contratista como consecuencia de incidencias resultantes de acontecimientos imprevisibles para el órgano de contratación producidas en el procedimiento de adjudicación y existan razones de interés público para no interrumpir la prestación:","Se podrá prorrogar el contrato originario hasta que comience la ejecución del nuevo contrato y en todo caso por un periodo máximo de doce meses, sin modificar las restantes condiciones del contrato, siempre que el anuncio de licitación del nuevo contrato se haya publicado con una antelación mínima de tres meses respecto de la fecha de finalización del contrato originario.","Se podrá prorrogar el contrato originario hasta que comience la ejecución del nuevo contrato y en todo caso por un periodo máximo de doce meses, sin modificar las restantes condiciones del contrato, aunque el anuncio de licitación del nuevo contrato no se haya publicado.","Se podrá prorrogar el contrato originario hasta que comience la ejecución del nuevo contrato y en todo caso por un periodo máximo de nueve meses, sin modificar las restantes condiciones del contrato, siempre que el anuncio de licitación del nuevo contrato se haya publicado con una antelación mínima de tres meses respecto de la fecha de finalización del contrato originario.","Se podrá prorrogar el contrato originario hasta que comience la ejecución del nuevo contrato y en todo caso por un periodo máximo de nueve meses, sin modificar las restantes condiciones del contrato, siempre que el anuncio de licitación del nuevo contrato se haya publicado con una antelación mínima de seis meses respecto de la fecha de finalización del contrato originario.","a","El artículo 29 de la Ley 9/2017 establece que el contrato originario puede prorrogarse hasta que comience la ejecución del nuevo contrato, con un plazo máximo de doce meses, siempre que el anuncio de licitación del nuevo contrato se haya publicado con una antelación mínima de tres meses respecto de la fecha de finalización del contrato originario."
"Señale la respuesta incorrecta. En relación a los encargos de los poderes adjudicadores a medios propios personificados:","Los poderes adjudicadores podrán organizarse ejecutando de manera directa prestaciones propias de los contratos de obras, suministros, servicios, concesión de obras y concesión de servicios, a cambio de una compensación tarifaria valiéndose de otra persona jurídica distinta a ellos, ya sea de derecho público o de derecho privado, previo encargo a esta siempre y cuando la persona jurídica que utilicen merezca la calificación jurídica de medio propio personificado respecto de ellos.","El encargo que cumpla dichos requisitos no tendrá la consideración de contrato.","Uno de los requisitos para tener la consideración de medio propio personificado respecto de una única entidad concreta del sector público que más del 60 por ciento de las actividades del ente destinatario del encargo se lleven a cabo en el ejercicio de los cometidos que le han sido confiados por el poder adjudicador que hace el encargo y que lo controla o por otras personas jurídicas controladas del mismo modo por la entidad que hace el encargo.","Cuando el ente destinatario del encargo sea un ente de personificación jurídico-privada, además, la totalidad de su capital o patrimonio tendrá que ser de titularidad o aportación pública.","c","El artículo 12 de la Ley 9/2017 establece que el requisito para ser considerado medio propio personificado es que más del 80% de las actividades del ente destinatario del encargo se lleven a cabo en el ejercicio de los cometidos confiados por el poder adjudicador, no el 60%."
"De acuerdo con el artículo 39.2 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, serán nulos de pleno derecho los contratos celebrados por poderes adjudicadores en los que concurra alguna de las causas siguientes:","El incumplimiento grave de normas de derecho de la Unión Europea en materia de contratación pública que conllevara que el contrato no hubiera debido adjudicarse al contratista, declarado por el Tribunal de Justicia de la Unión Europea (TJUE) en un procedimiento con arreglo al artículo 260 del Tratado de Funcionamiento de la Unión Europea.","La falta de publicación del anuncio de licitación en el perfil de contratante alojado en la Plataforma de Contratación del Sector Público o en los servicios de información similares de las Comunidades Autónomas, en el «Diario Oficial de la Unión Europea» o en el medio de publicidad en que sea preceptivo, de conformidad con el artículo 135.","La falta de capacidad de obrar o de solvencia económica, financiera, técnica o profesional; o la falta de habilitación empresarial o profesional cuando sea exigible para la realización de la actividad o prestación que constituya el objeto del contrato; o la falta de clasificación, cuando esta proceda, debidamente acreditada, del adjudicatario; o el estar este incurso en alguna de las prohibiciones para contratar señaladas en el artículo 71.","Todas las respuestas son correctas.","d","El artículo 39.2 de la Ley 9/2017 establece que los contratos serán nulos de pleno derecho si concurre alguna de las causas mencionadas en las opciones a, b y c."
"De acuerdo con el artículo 44.1. de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, serán susceptibles de recurso especial en materia de contratación, los actos y decisiones relacionados en el apartado 2 de este mismo artículo, cuando se refieran a los siguientes contratos que pretendan concertar las Administraciones Públicas o las restantes entidades que ostenten la condición de poderes adjudicadores:","Contratos de obras cuyo valor estimado sea inferior a tres millones de euros, y de suministro y servicios, que tenga un valor estimado superior a cien mil euros.","Acuerdos marco y sistemas dinámicos de adquisición que tengan por objeto la celebración de alguno de los contratos tipificados en la letra anterior, pero no los contratos basados en cualquiera de ellos.","Concesiones de obras o de servicios cuyo valor estimado supere los tres millones de euros.","Concesiones de servicios cuyo valor estimado supere los tres millones de euros.","a","El artículo 44.1 de la Ley 9/2017 establece que los contratos de obras cuyo valor estimado sea inferior a tres millones de euros y los de suministro y servicios con un valor estimado superior a cien mil euros son susceptibles de recurso especial en materia de contratación."
"De acuerdo con el artículo 49.2 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, antes de interponer el recurso especial en materia de contratación, las personas legitimadas para ello podrán solicitar ante el órgano competente para resolver el recurso la adopción de medidas cautelares. Así, el órgano competente para resolver el recurso especial deberá adoptar decisión en forma motivada sobre las medidas cautelares:","Dentro de los cinco días hábiles siguientes a la presentación del escrito en que se soliciten.","Dentro de los diez días hábiles siguientes a la presentación del escrito en que se soliciten.","Dentro de los siete días hábiles siguientes a la presentación del escrito en que se soliciten.","Dentro de los tres días hábiles siguientes a la presentación del escrito en que se soliciten.","a","El artículo 49.2 de la Ley 9/2017 establece que el órgano competente para resolver el recurso especial deberá adoptar decisión sobre las medidas cautelares dentro de los cinco días hábiles siguientes a la presentación del escrito en que se soliciten."
"Señale la respuesta incorrecta:","Con independencia de la unidad encargada del seguimiento y la ejecución ordinaria del contrato que figure en los pliegos, los órganos de contratación deberán designar un responsable del contrato al que corresponderá supervisar su ejecución y adoptar las decisiones y dictar las instrucciones necesarias con el fin de asegurar la correcta realización de la prestación pactada, dentro del ámbito de facultades que aquellos le atribuyan.","En los contratos de obras, las facultades del responsable del contrato serán ejercidas por el director facultativo conforme con lo dispuesto en los artículos 237 a 246 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014.","El responsable del contrato sólo podrá ser una persona física.","En los casos de concesiones de obra pública y de concesiones de servicios, la Administración designará una persona que actúe en defensa del interés general, para obtener y para verificar el cumplimiento de las obligaciones del concesionario, especialmente en lo que se refiere a la calidad en la prestación del servicio o de la obra.","c","El artículo 237 de la Ley 9/2017 no limita la figura del responsable del contrato a una persona física, por lo que la opción c) es incorrecta."
"De acuerdo con el artículo 63.3 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, en el caso de la información relativa a los contratos, deberá publicarse en el perfil del contratante al menos la siguiente información:","La memoria justificativa del contrato, el informe de insuficiencia de medios en el caso de contratos de servicios, la justificación del procedimiento utilizado para su adjudicación cuando se utilice un procedimiento distinto del abierto o del restringido, el pliego de cláusulas administrativas particulares y el de prescripciones técnicas que hayan de regir el contrato o documentos equivalentes, en su caso, y el documento de aprobación del expediente.","El objeto detallado del contrato, su duración, el presupuesto base de licitación y el importe de adjudicación, incluido el Impuesto sobre el Valor Añadido.","Los anuncios de información previa, de convocatoria de las licitaciones, de adjudicación y de formalización de los contratos, los anuncios de modificación y su justificación, los anuncios de concursos de proyectos y de resultados de concursos de proyectos, con las excepciones establecidas en las normas de los negociados sin publicidad.","Todas las respuestas son correctas.","d","El artículo 63.3 de la Ley 9/2017 establece que toda la información mencionada en las opciones a, b y c debe publicarse en el perfil del contratante."
"De acuerdo con el artículo 64.2 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, el concepto de conflicto de intereses abarcará, al menos:","Cualquier situación en la que el personal al servicio del órgano de contratación, que además participe en el desarrollo del procedimiento de licitación o pueda influir en el resultado del mismo, tenga directa o indirectamente un interés financiero, económico o personal que pudiera parecer que compromete su imparcialidad e independencia en el contexto del procedimiento de licitación.","Cualquier situación en la que el personal al servicio del órgano de contratación o de otros órganos, que además participe en el desarrollo del procedimiento de licitación o pueda influir en el resultado del mismo, tenga indirectamente un interés financiero que pudiera parecer que compromete su imparcialidad en el contexto del procedimiento de licitación.","Cualquier hecho en el que el personal que participe en el desarrollo del procedimiento de licitación pueda influir en el resultado del mismo y tenga directamente un interés financiero, económico o personal que pudiera parecer que compromete su imparcialidad e independencia en el contexto del procedimiento de licitación.","Cualquier hecho en la que el personal al servicio del órgano de contratación, que además participe en el desarrollo del procedimiento de licitación o pueda influir en el resultado del mismo, tenga indirectamente cierto interés financiero, económico o personal aunque no pudiera parecer que compromete su imparcialidad e independencia en el contexto del procedimiento de licitación.","a","El artículo 64.2 de la Ley 9/2017 establece que el concepto de conflicto de intereses abarca cualquier situación en la que el personal al servicio del órgano de contratación tenga un interés financiero, económico o personal que comprometa su imparcialidad e independencia en el procedimiento de licitación."
"De acuerdo con el artículo 65 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, solo podrán contratar con el sector público:","Las personas naturales o jurídicas españolas, que tengan plena capacidad de obrar, no estén incursas en alguna prohibición de contratar, y acrediten su solvencia económica y financiera y técnica o profesional o, en los casos en que así lo exija esta Ley, se encuentren debidamente clasificadas.","Las personas jurídicas, españolas o extranjeras, que tengan plena capacidad de obrar, no estén incursas en alguna prohibición de contratar, y acrediten su solvencia económica y financiera y técnica o profesional o, en los casos en que así lo exija esta Ley, se encuentren debidamente clasificadas.","Las personas naturales o jurídicas, españolas o extranjeras, que tengan plena capacidad de obrar, no estén incursas en alguna prohibición de contratar, y acrediten su solvencia económica y financiera y técnica o profesional o, en los casos en que así lo exija esta Ley, se encuentren debidamente clasificadas.","Las personas naturales o jurídicas, españolas o extranjeras, que no tengan plena capacidad de obrar, no estén incursas en alguna prohibición de contratar, y acrediten su solvencia económica y financiera y técnica o profesional o, en los casos en que así lo exija esta Ley, se encuentren debidamente clasificadas.","c","El artículo 65 de la Ley 9/2017 establece que solo podrán contratar con el sector público las personas naturales o jurídicas, españolas o extranjeras, que tengan plena capacidad de obrar, no estén incursas en alguna prohibición de contratar y acrediten su solvencia económica, financiera y técnica o profesional."
"Podrán contratar con el sector público las uniones de empresarios que se constituyan temporalmente al efecto:","Sin que sea necesaria la formalización de las mismas en escritura pública hasta que se haya efectuado la adjudicación del contrato a su favor.","Sin que sea necesaria la formalización de las mismas en escritura pública hasta que se haya efectuado la formalización del contrato a su favor.","Sin que sea necesaria la formalización de las mismas en escritura pública hasta que se haya efectuado la publicación del contrato a su favor.","Sin que sea necesaria la formalización de las mismas en escritura pública hasta que se haya efectuado la disposición del gasto del contrato a su favor.","b","El artículo 65.2 de la Ley 9/2017 establece que las uniones de empresarios no necesitan formalizarse en escritura pública hasta que se haya efectuado la formalización del contrato a su favor."
"No podrán contratar con las entidades previstas en el artículo 3 con los efectos establecidos en el artículo 73 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, las personas en quienes concurra alguna de las siguientes circunstancias:","Haber sido condenadas mediante sentencia firme por delitos de terrorismo, constitución o integración de una organización o grupo criminal, asociación ilícita, financiación ilegal de los partidos políticos, trata de seres humanos, corrupción en los negocios, tráfico de influencias, cohecho, fraudes, delitos contra la Hacienda Pública y la Seguridad Social, delitos contra los derechos de los trabajadores, prevaricación, malversación, negociaciones prohibidas a los funcionarios, blanqueo de capitales, delitos relativos a la ordenación del territorio y el urbanismo, la protección del patrimonio histórico y el medio ambiente, o a la pena de inhabilitación especial para el ejercicio de profesión, oficio, industria o comercio.","Haber retirado indebidamente su proposición o candidatura en un procedimiento de adjudicación, o haber imposibilitado la adjudicación del contrato a su favor por no cumplimentar lo establecido en el apartado 2 del artículo 150 dentro del plazo señalado mediando dolo, culpa o negligencia.","Haber dejado de formalizar el contrato, que ha sido adjudicado a su favor, en los plazos previstos en el artículo 153 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público por causa imputable al adjudicatario.","Todas las respuestas son correctas.","d","El artículo 73 de la Ley 9/2017 establece que todas las circunstancias mencionadas en las opciones a, b y c son causas de prohibición para contratar con el sector público."
"De acuerdo con el artículo 74 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, para celebrar contratos con el sector público los empresarios deberán acreditar:","Estar en posesión de las condiciones mínimas de solvencia económica y financiera que se determinen por el órgano de contratación. Este requisito será sustituido por el de la clasificación, cuando esta sea exigible conforme a lo dispuesto en esta Ley.","Estar en posesión de las condiciones mínimas de solvencia económica y financiera y profesional o técnica que se determinen por el órgano de contratación. Este requisito será sustituido por el de la clasificación, cuando esta sea exigible conforme a lo dispuesto en esta Ley.","Estar en posesión de las condiciones mínimas de solvencia profesional o técnica que se determinen por el órgano de contratación. Este requisito será sustituido por el de la clasificación, cuando esta sea exigible conforme a lo dispuesto en esta Ley.","Estar en posesión de las condiciones mínimas de solvencia económica y financiera y profesional o técnica que se determinen por el órgano de contratación. Sin que este requisito pueda ser sustituido por el de la clasificación.","b","El artículo 74 de la Ley 9/2017 establece que los empresarios deben acreditar solvencia económica, financiera y profesional o técnica, y este requisito puede ser sustituido por la clasificación cuando sea exigible."
"De acuerdo con el artículo 77.1 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, la clasificación de los empresarios como contratistas de obras de los poderes adjudicadores será exigible y surtirá efectos para la acreditación de su solvencia para contratar en los siguientes casos y términos:","Para los contratos de obras cuyo valor estimado sea igual o superior a 500.000 euros.","Para los contratos de obras cuyo valor estimado sea igual o superior a 1.000.000 euros.","Para los contratos de obras cuyo presupuesto de licitación sea igual o superior a 500.000 euros.","Para los contratos de obras cuyo presupuesto de licitación sea igual o superior a 1.000.000 euros.","b","El artículo 77.1 de la Ley 9/2017 establece que la clasificación será exigible para contratos de obras cuyo valor estimado sea igual o superior a 1.000.000 euros."
