"La regulación reglamentaria de los tributos propios de los municipios:", "Se tiene que hacer por medio de las ordenanzas fiscales que regulan los artículos 15 a 19 del Texto refundido de la Ley reguladora de las haciendas locales.", "Se tiene que hacer por medio de las ordenanzas locales que regula el artículo 49 de la Ley reguladora de las bases de régimen local.", "Se tiene que hacer por medio de las bases de ejecución de los presupuestos.", "Ninguna de las respuestas anteriores es correcta, pues los tributos propios municipales no pueden ser objeto de regulación reglamentaria local.", "a", "La regulación de los tributos propios municipales se realiza mediante ordenanzas fiscales, según los artículos 15 a 19 del Texto refundido de la Ley reguladora de las haciendas locales."
"Las facultades de gestión, liquidación, inspección y recaudación tributarias que el texto refundido de la Ley reguladora de Haciendas Locales atribuye a las entidades locales:","Habrán de ser ejercidas, siempre y en todo caso, por la propia entidad local, sin que puedan ser objeto de delegación","Podrán ser delegadas en la comunidad autónoma o en otras entidades locales en cuyo territorio estén integradas","Las facultades de inspección y recaudación podrán ser delegadas en la comunidad autónoma, pero no las facultades de gestión y liquidación","Solamente la facultad de recaudación de los tributos locales podrá ser delegada a la respectiva comunidad autónoma a la que pertenezca la entidad local","b","Las facultades de gestión, liquidación, inspección y recaudación tributarias que el texto refundido de la Ley reguladora de Haciendas Locales atribuye a las entidades locales podrán ser delegadas en la comunidad autónoma o en otras entidades locales en cuyo territorio estén integradas."
"Las actuaciones en materia de inspección o recaudación ejecutiva que hayan de efectuarse fuera del territorio de la respectiva entidad local en relación con los ingresos de derecho público propios de ésta:","Serán practicadas por los órganos competentes de la correspondiente comunidad autónoma cuando deban realizarse en el ámbito territorial de ésta, y por los órganos competentes del Estado en otro caso, previa solicitud del presidente de la Corporación","Serán practicadas por los órganos competentes de la correspondiente comunidad autónoma cuando deban realizarse en el ámbito territorial de ésta, y por los órganos competentes del Estado en otro caso, siempre que se hayan delegado las facultades en materia de inspección o recaudación","Serán practicadas por los órganos competentes de la correspondiente entidad local sin que rija el principio de territorialidad","Serán practicadas por los inspectores y recaudadores expresamente designados por el Pleno de la Corporación local","a","Las actuaciones en materia de inspección o recaudación ejecutiva que hayan de efectuarse fuera del territorio de la respectiva entidad local en relación con los ingresos de derecho público propios de ésta serán practicadas por los órganos competentes de la correspondiente comunidad autónoma cuando deban realizarse en el ámbito territorial de ésta, y por los órganos competentes del Estado en otro caso, previa solicitud del presidente de la Corporación."
"De acuerdo con lo prevenido en el artículo 9.1 del texto refundido de la Ley reguladora de las Haciendas Locales ¿cuál de las siguientes afirmaciones es correcta?","En los tributos locales, no podrán reconocerse los beneficios fiscales previstos en las normas del estado, de las comunidades autónomas y en los tratados internacionales","El reconocimiento de los beneficios fiscales tiene siempre carácter potestativo","En los tributos locales, no podrán reconocerse otros beneficios fiscales que los expresamente previstos en las normas con rango de ley o los derivados de la aplicación de los tratados internacionales","El reconocimiento de los beneficios fiscales tiene siempre carácter obligatorio, salvo que una norma de la Unión Europea establezca su carácter potestativo","c","De acuerdo con el artículo 9.1 del texto refundido de la Ley reguladora de las Haciendas Locales, en los tributos locales, no podrán reconocerse otros beneficios fiscales que los expresamente previstos en las normas con rango de ley o los derivados de la aplicación de los tratados internacionales."
"En la exacción de los tributos locales y de los restantes ingresos de derecho público de las entidades locales, los recargos e intereses de demora:","Se exigirán y determinarán en los mismos casos, forma y cuantía que en la exacción de los tributos del Estado","Se exigirán y determinarán en los casos, forma y cuantía previstos en las respectivas ordenanzas fiscales y que podrán ser diferentes a los previstos para la exacción de los tributos del Estado","Se exigirán y determinarán en los mismos casos, forma y cuantía que en la exacción de los tributos de la respectiva comunidad autónoma","En la exacción de los tributos locales, las entidades locales pueden imponer recargos pero no los intereses de demora, excepto en los casos de ingresos indebidos","b","En la exacción de los tributos locales y de los restantes ingresos de derecho público de las entidades locales, los recargos e intereses de demora se exigirán y determinarán en los casos, forma y cuantía previstos en las respectivas ordenanzas fiscales y que podrán ser diferentes a los previstos para la exacción de los tributos del Estado."
"Contra los actos de aplicación y efectividad de los tributos y restantes ingresos de derecho público sólo podrá interponerse el recurso de reposición regulado en:","El artículo 112 de la Ley 39/2015 de 1 de octubre","Artículos 222 y siguientes de la Ley 58/2003 de 17 de diciembre, General Tributaria","Artículo 14 del RD Legislativo 2/2004 de 5 de marzo","Artículo 24 del RD Legislativo 2/2004 de 5 de marzo","b","Contra los actos de aplicación y efectividad de los tributos y restantes ingresos de derecho público sólo podrá interponerse el recurso de reposición regulado en los artículos 222 y siguientes de la Ley 58/2003 de 17 de diciembre, General Tributaria."
"La competencia para conocer y resolver el recurso de reposición interpuesto frente a los actos de aplicación y efectividad de los tributos corresponde a:","Al Presidente de la Corporación","Al Pleno de la Corporación","Al órgano de la entidad local que haya dictado el acto impugnado","Al superior jerárquico del órgano que ha dictado el acto impugnado","d","La competencia para conocer y resolver el recurso de reposición interpuesto frente a los actos de aplicación y efectividad de los tributos corresponde al superior jerárquico del órgano que ha dictado el acto impugnado."
"Cuando el recurso de reposición contra un acto de aplicación y efectividad de los tributos locales no sea resuelto en el plazo legalmente previsto","El recurso se entenderá estimado","El recurso se entenderá desestimado","Se entenderá desestimado, salvo las excepciones previstas en la ley, en que el sentido del silencio es positivo","Por tratarse de una impugnación de actos tributarios, se tiene que estar siempre y en todo caso al sentido de la resolución expresa","b","Cuando el recurso de reposición contra un acto de aplicación y efectividad de los tributos locales no sea resuelto en el plazo legalmente previsto, el recurso se entenderá desestimado."
"La resolución expresa de un recurso de reposición interpuesto contra un acto de aplicación y efectividad de los tributos locales, deberá ser notificada al recurrente","En el plazo máximo de un mes desde que se dicte","En el plazo máximo de diez días desde que se dicte la resolución","El recurso será resuelto y notificado en el plazo de un mes a contar desde el día siguiente al de su presentación","Se notificará a la mayor brevedad posible por medios electrónicos","c","La resolución expresa de un recurso de reposición interpuesto contra un acto de aplicación y efectividad de los tributos locales, deberá ser notificada al recurrente en el plazo de un mes a contar desde el día siguiente al de su presentación."
"Salvo en los supuestos en que la ley prevé la interposición de reclamaciones económico-administrativas, contra la resolución del recurso de reposición, los interesados","Podrán volver a plantear el recurso de reposición, salvo cuando se trate de una desestimación presunta","Podrán interponer recurso de alzada","Deberán interponer recurso de alzada para poner fin a la vía administrativa","Podrán interponer directamente recurso contencioso-administrativo","d","Salvo en los supuestos en que la ley prevé la interposición de reclamaciones económico-administrativas, contra la resolución del recurso de reposición, los interesados podrán interponer directamente recurso contencioso-administrativo."
"¿Cuáles de entre los siguientes impuestos son de exigencia obligatoria por parte de los ayuntamientos?","El Impuesto sobre Bienes Inmuebles y el Impuesto sobre el Incremento de Valor de los Terrenos de Naturaleza Urbana","El Impuesto sobre Construcciones, Instalaciones y Obras, y el Impuesto sobre Vehículos de Tracción Mecánica","El Impuesto sobre Bienes Inmuebles y el Impuesto sobre Actividades Económicas","El Impuesto sobre Bienes Inmuebles, el Impuesto sobre Actividades Económicas, el Impuesto sobre Vehículos de Tracción Mecánica y el Impuesto sobre el Incremento de Valor de los Terrenos de Naturaleza Urbana","d","Los impuestos de exigencia obligatoria por parte de los ayuntamientos son el Impuesto sobre Bienes Inmuebles, el Impuesto sobre Actividades Económicas, el Impuesto sobre Vehículos de Tracción Mecánica y el Impuesto sobre el Incremento de Valor de los Terrenos de Naturaleza Urbana."
"El Impuesto sobre Actividades Económicas","Es un tributo directo de carácter personal, cuyo hecho imponible está constituido por el mero ejercicio, en territorio nacional, de una actividad empresarial, profesional o artística","Es un tributo indirecto de carácter real","Es un tributo directo de carácter real","Es un tributo directo que puede tener carácter real o personal en función de la naturaleza de la actividad empresarial, profesional o artística gravada.","a","El Impuesto sobre Actividades Económicas es un tributo directo de carácter personal, cuyo hecho imponible está constituido por el mero ejercicio, en territorio nacional, de una actividad empresarial, profesional o artística, según lo establecido en la normativa tributaria española."
"Los ayuntamientos, por la realización de obras o por el establecimiento o ampliación de servicios municipales, podrán establecer y exigir","Tributos","Tasas","Contribuciones especiales","Tasas o contribuciones especiales, indistintamente","c","Los ayuntamientos, por la realización de obras o por el establecimiento o ampliación de servicios municipales, podrán establecer y exigir contribuciones especiales, según lo establecido en la normativa local."
"Los ayuntamientos, por la prestación de servicios o la realización de actividades de su competencia o el aprovechamiento especial de los bienes del dominio público municipal, podrán establecer y exigir","Tributos","Tasas","Contribuciones especiales","El impuesto que corresponda en función de la concreta actividad de que se trate","b","Los ayuntamientos, por la prestación de servicios o la realización de actividades de su competencia o el aprovechamiento especial de los bienes del dominio público municipal, podrán establecer y exigir tasas, según lo establecido en la normativa local."
"La base imponible del Impuesto sobre Bienes Inmuebles está constituida","Por el valor catastral de los bienes inmuebles","Por el valor base que corresponda al inmueble previa determinación de la base liquidable","Por la base que se determine en la ponencia de valores","Por la base que se determine en los procedimientos de valoración colectiva","a","La base imponible del Impuesto sobre Bienes Inmuebles está constituida por el valor catastral de los bienes inmuebles, según lo establecido en la normativa tributaria española."
"Los vehículos oficiales de las comunidades autónomas adscritos a la seguridad ciudadana, en relación con el Impuesto sobre Vehículos de Tracción Mecánica","Están exentos del Impuesto sobre Vehículos de Tracción Mecánica","Pueden disfrutar de una bonificación de hasta el 75 por ciento en función de la clase de carburante","Pueden disfrutar de una bonificación de hasta el 50 por ciento en función de la clase de carburante","Pueden disfrutar de una bonificación de hasta el 25 por ciento en función de la clase de carburante","a","Los vehículos oficiales de las comunidades autónomas adscritos a la seguridad ciudadana están exentos del Impuesto sobre Vehículos de Tracción Mecánica, según lo establecido en la normativa tributaria española."
"Los bienes inmuebles que sean propiedad de la Cruz Roja Española, en relación con el Impuesto sobre Bienes Inmuebles","Gozarán de una bonificación del 75 por ciento de la cuota íntegra del impuesto, siempre y en todo caso","Gozarán de una bonificación del 75 por ciento de la cuota íntegra del impuesto, siempre que así lo recojan las ordenanzas fiscales","Gozarán de una bonificación de hasta el 75 por ciento de la cuota íntegra del impuesto, siempre que así lo recojan las ordenanzas fiscales","Están exentos del Impuesto sobre Bienes Inmuebles.","c","Los bienes inmuebles que sean propiedad de la Cruz Roja Española gozarán de una bonificación de hasta el 75 por ciento de la cuota íntegra del impuesto, siempre que así lo recojan las ordenanzas fiscales, según lo establecido en la normativa tributaria española."
"El Impuesto sobre Bienes Inmuebles","Es un tributo directo de carácter real","Es un tributo directo de carácter personal","Es un tributo indirecto de carácter real","Es un tributo directo que puede tener carácter real o personal","a","El Impuesto sobre Bienes Inmuebles es un tributo directo de carácter real."
"Los acuerdos provisionales adoptados para la aprobación y modificación de las ordenanzas fiscales se expondrán en el tablón de anuncios de la entidad","Durante treinta días, como mínimo","Durante un mes","Entre treinta días, como mínimo y un máximo de sesenta","Por el tiempo determinado en el acuerdo provisional adoptado","a","Los acuerdos provisionales adoptados para la aprobación y modificación de las ordenanzas fiscales se expondrán en el tablón de anuncios de la entidad durante treinta días, como mínimo, según lo establecido en la normativa local."
"En el caso de un ayuntamiento con una población de 20.000 habitantes, los anuncios de exposición de los acuerdos provisionales de aprobación de las ordenanzas fiscales","Se publicarán en el boletín oficial de la provincia, o, en su caso, en el de la Comunidad Autónoma uniprovincial","Se publicarán en un diario de los de mayor difusión de la provincia o de la comunidad autónoma uniprovincial","Los anuncios de exposición de los acuerdos provisionales de aprobación de las ordenanzas fiscales no son objeto de publicación, por su carácter provisional, publicándose sólo los acuerdos definitivos","Se publicarán en el boletín oficial de la provincia, o, en su caso, en el de la Comunidad Autónoma uniprovincial y, además, en un diario de los de mayor difusión de la provincia o de la comunidad autónoma uniprovincial","d","En el caso de un ayuntamiento con una población de 20.000 habitantes, los anuncios de exposición de los acuerdos provisionales de aprobación de las ordenanzas fiscales se publicarán en el boletín oficial de la provincia, o, en su caso, en el de la Comunidad Autónoma uniprovincial y, además, en un diario de los de mayor difusión de la provincia o de la comunidad autónoma uniprovincial, según lo establecido en la normativa local."
"Si en el procedimiento de aprobación de las ordenanzas fiscales de las entidades locales, durante el período de exposición pública no se presentan reclamaciones","Se entenderá definitivamente adoptado el acuerdo, hasta entonces provisional, mediante acuerdo plenario adoptado por mayoría simple","Se entenderá definitivamente adoptado el acuerdo, hasta entonces provisional, mediante acuerdo plenario adoptado por mayoría absoluta del número legal de miembros","Se prorrogará el período de exposición pública por otros sesenta días, transcurrido el cual sin que se hayan presentado reclamaciones o alegaciones, se entenderá definitivamente adoptado el acuerdo sin necesidad de acuerdo del pleno del aentidad","Se entenderá definitivamente adoptado el acuerdo, hasta entonces provisional, sin necesidad de acuerdo plenario","d","Si en el procedimiento de aprobación de las ordenanzas fiscales de las entidades locales, durante el período de exposición pública no se presentan reclamaciones, se entenderá definitivamente adoptado el acuerdo, hasta entonces provisional, sin necesidad de acuerdo plenario, según lo establecido en la normativa local."
"Los acuerdos provisionales de aprobación de las ordenanzas fiscales de las entidades locales, elevados automáticamente a definitivos, habrán de ser publicados","En el boletín oficial de la provincia, o, en su caso, de la comunidad autónoma uniprovincial","En el boletín oficial de la provincia, o en su caso, de la comunidad autónoma uniprovincial y en uno de los diarios de los de mayor difusión de la provincia o de la comunidad autónoma uniprovincial","En el boletín oficial de la provincia, o en su caso, de la comunidad autónoma uniprovincial o en uno de los diarios de los de mayor difusión de la provincia o de la comunidad autónoma uniprovincial","Al haber sido obligatoriamente publicado el acuerdo de aprobación provisional, no resulta necesaria la publicación del acuerdo elevado automáticamente a definitivo por falta de presentación de reclamaciones","b","Los acuerdos provisionales de aprobación de las ordenanzas fiscales de las entidades locales, elevados automáticamente a definitivos, habrán de ser publicados en el boletín oficial de la provincia, o en su caso, de la comunidad autónoma uniprovincial y en uno de los diarios de los de mayor difusión de la provincia o de la comunidad autónoma uniprovincial, según lo establecido en la normativa local."
"La edición del texto íntegro de las ordenanzas fiscales dentro del primer cuatrimestre del ejercicio económico correspondiente resulta obligatoria para las siguientes entidades","Las diputaciones provinciales, consejos, cabildos insulares, y en todo caso, las demás entidades locales cuando su población sea superior a los 20.000 habitantes","Las diputaciones provinciales, consejos, cabildos insulares, y en todo caso, las demás entidades locales cuando su población sea superior a los 10.000 habitantes","Las diputaciones provinciales, consejos, cabildos insulares, y en todo caso, las demás entidades locales cuando su población sea superior a los 50.000 habitantes","Las diputaciones provinciales, consejos, cabildos insulares y demás entidades locales","a","La edición del texto íntegro de las ordenanzas fiscales dentro del primer cuatrimestre del ejercicio económico correspondiente resulta obligatoria para las diputaciones provinciales, consejos, cabildos insulares, y en todo caso, las demás entidades locales cuando su población sea superior a los 20.000 habitantes, según lo establecido en la normativa local."
"Tienen la condición de interesados a los efectos de reclamar contra los acuerdos provisionales de aprobación o modificación de las ordenanzas fiscales","Los que tuvieren un interés directo o resulten afectados por tales acuerdos","Los que tuvieren un interés directo o resultes afectados por tales acuerdos siempre que residan en el territorio de la entidad local que haya adoptado el acuerdo provisional","Los que tuvieren un interés directo o resultes afectados por tales acuerdos siempre que tengan la condición de vecino de la entidad local que haya adoptado el acuerdo provisional","Cualquier interesado en reclamar, sea o no residente y tenga o no interés directo en el asunto","a","Tienen la condición de interesados a los efectos de reclamar contra los acuerdos provisionales de aprobación o modificación de las ordenanzas fiscales los que tuvieren un interés directo o resulten afectados por tales acuerdos, según lo establecido en la normativa local."
"Contra las ordenanzas fiscales de las entidades locales podrá interponerse","Reclamación económico administrativa ante el Tribunal Económico Administrativo Central","Reclamación económico administrativa ante el Tribunal Económico Administrativo Regional","Recurso de reposición regulado en el artículo 14 de la Ley reguladora de las Haciendas Locales","Recurso contencioso-administrativo","d","Contra las ordenanzas fiscales de las entidades locales podrá interponerse recurso contencioso-administrativo, según lo establecido en la normativa local."
"Si por resolución judicial firme resulta anulado el texto de una ordenanza fiscal","Se mantendrán los actos firmes o consentidos dictados al amparo de la ordenanza que posteriormente resulte anulada o modificada, salvo que expresamente lo prohibiera la sentencia.","Se mantendrán los actos firmes o consentidos dictados al amparo de la ordenanza que posteriormente resulte anulada o modificada, siempre y en todo caso","Se mantendrán los actos firmes o consentidos dictados al amparo de la ordenanza que posteriormente resulte anulada o modificada, siempre y en todo caso, salvo acuerdo del órgano que hubiere adoptado el acuerdo de aprobación definitiva de la ordenanza anulada","Los actos firmes o consentidos quedarán afectados inmediatamente, por efectos de la sentencia, por la declaración de nulidad","a","Si por resolución judicial firme resulta anulado el texto de una ordenanza fiscal, se mantendrán los actos firmes o consentidos dictados al amparo de la ordenanza que posteriormente resulte anulada o modificada, salvo que expresamente lo prohibiera la sentencia, según lo establecido en la normativa local."
