"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre, por el que se aprueba el texto refundido de la Ley de subvenciones, las normas especiales reguladoras de las ayudas al exterior:","Tienen que aprobarse por ley del parlamento.","Tienen que aprobarse por resolución del Consejero competente en materia de Hacienda y Presupuestos","Tienen que aprobarse por decreto del Consejo de Gobierno.","No se regulan las ayudas al exterior en el Decreto Legislativo 2/2005.","c","El artículo 4.2 del Decreto Legislativo 2/2005 establece que las normas especiales de ayudas al exterior deben aprobarse por decreto del Consejo de Gobierno."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre, el acto de convocatoria de una subvención dictado sin la consignación previa del crédito presupuestario correspondiente:","Es un acto anulable.","Es un acto que adolece de una irregularidad no invalidante.","Es un acto válido.","Es un acto nulo de pleno derecho.","d","El artículo 24.1 del Decreto Legislativo 2/2005 establece que el acto de convocatoria de una subvención dictado sin la consignación previa del crédito presupuestario correspondiente es un acto nulo de pleno derecho."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre, la instrucción de los procedimientos de concesión de subvenciones corresponde:","Al órgano que determinen las bases reguladoras.","Al consejero competente por razón de la materia.","Al director general competente por razón de la materia","Al órgano que determine la convocatoria de la subvención.","a","El artículo 25.1 del Decreto Legislativo 2/2005 establece que la instrucción de los procedimientos de concesión de subvenciones corresponde al órgano que determinen las bases reguladoras."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre, ¿cuál de las siguientes actuaciones no es competencia del órgano instructor?","Solicitar, si procede, los informes de la comisión evaluadora.","Evaluar las solicitudes de acuerdo con los criterios de valoración establecidos en las bases reguladoras y en la convocatoria.","Dictar la resolución expresa que finaliza el procedimiento de concesión de subvenciones.","Determinar los participantes admitidos a la convocatoria.","c","El artículo 26.1 del Decreto Legislativo 2/2005 establece que dictar la resolución expresa que finaliza el procedimiento de concesión de subvenciones no es competencia del órgano instructor."
"¿De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre, cuando se crean derechos a favor de los beneficiarios?","Cuando dicte la resolución de concesión y se notifique o publique la misma.","Cuando dicte la propuesta de resolución de concesión y se notifique o publique la misma.","Cuando dicte la resolución de concesión , incluso antes de que se notifique o publique la misma.","Cuando dicte la propuesta de resolución de concesión, incluso antes de que se notifique o publique la misma.","a","El artículo 27.1 del Decreto Legislativo 2/2005 establece que los derechos a favor de los beneficiarios se crean cuando se dicte la resolución de concesión y se notifique o publique la misma."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, ¿qué indica en relación al concurso?","El concurso es la única vía de selección de los beneficiarios.","El concurso constituye la vía ordinaria de selección de los beneficiarios.","El concurso no constituye una vía de selección de los beneficiarios.","El concurso constituye la vía extraordinaria de selección de los beneficiarios.","b","El artículo 28.1 del Decreto Legislativo 2/2005 establece que el concurso constituye la vía ordinaria de selección de los beneficiarios."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, ¿cuándo es posible el prorrateo del importe global máximo destinado a la convocatoria?","El prorrateo está explícitamente prohibido.","Cuando las características de la subvención lo permitan aun cuando no esté previsto en las bases reguladoras.","Cuando las características de la subvención lo permitan y así lo prevean las bases reguladoras.","El prorrateo puede realizarse en cualquier convocatoria de subvenciones.","c","El artículo 29.1 del Decreto Legislativo 2/2005 establece que el prorrateo del importe global máximo destinado a la convocatoria es posible cuando las características de la subvención lo permitan y así lo prevean las bases reguladoras."
"Indica cuál de las siguientes tareas corresponde a las comisiones evaluadoras, de acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones:","Formular la propuesta de resolución.","Determinar los participantes admitidos a la convocatoria.","Abrir, cuando proceda, el trámite de audiencia e incorporar su resultado al expediente.","Examinar las solicitudes presentadas y emitir un informe que ha de servir de base para la elaboración de la propuesta de resolución.","d","El artículo 30.1 del Decreto Legislativo 2/2005 establece que las comisiones evaluadoras tienen la tarea de examinar las solicitudes presentadas y emitir un informe que ha de servir de base para la elaboración de la propuesta de resolución."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, las comisiones evaluadoras se constituirán, preceptivamente, en los procedimientos de concurso, siempre que:","El importe global de los fondos previstos en la convocatoria sea superior a 50.000,00 euros, o el importe individual máximo sea superior a 7.000,00 euros.","El importe global de los fondos previstos en la convocatoria sea superior a 70.000,00 euros, o el importe individual máximo sea superior a 7.000,00 euros.","El importe global de los fondos previstos en la convocatoria sea superior a 50.000,00 euros, o el importe individual máximo sea superior a 5.000,00 euros.","El importe global de los fondos previstos en la convocatoria sea superior a 70.000,00 euros, o el importe individual máximo sea superior a 5.000,00 euros.","a","El artículo 31.1 del Decreto Legislativo 2/2005 establece que las comisiones evaluadoras se constituirán, preceptivamente, en los procedimientos de concurso, siempre que el importe global de los fondos previstos en la convocatoria sea superior a 50.000,00 euros, o el importe individual máximo sea superior a 7.000,00 euros."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones,  las comisiones evaluadoras estarán constituidas por...","Un presidente, un secretario y un número de vocales no inferior a cinco, designados en la resolución de convocatoria.","Un presidente, un secretario y un número de vocales no inferior a tres, designados en la resolución de convocatoria.","Un presidente, un secretario y un número de vocales no inferior a cinco, designados en las bases reguladoras.","Un presidente, un secretario y un número de vocales no inferior a tres, designados en las bases reguladoras.","b","El artículo 32.1 del Decreto Legislativo 2/2005 establece que las comisiones evaluadoras estarán constituidas por un presidente, un secretario y un número de vocales no inferior a tres, designados en la resolución de convocatoria."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, la resolución expresa que finaliza el procedimiento de concesión de subvenciones:","No tiene obligación de ser motivada y debe fijar, con carácter definitivo, la cuantía acumulada de las subvenciones concedidas.","No tiene obligación de ser motivada y debe fijar, con carácter definitivo, la cuantía individual de las subvenciones concedidas.","Debe ser motivada y debe fijar, con carácter definitivo, la cuantía acumulada de las subvenciones concedidas.","Debe ser motivada y debe fijar, con carácter definitivo, la cuantía individual de las subvenciones concedidas.","d","El artículo 33.1 del Decreto Legislativo 2/2005 establece que la resolución expresa que finaliza el procedimiento de concesión de subvenciones debe ser motivada y debe fijar, con carácter definitivo, la cuantía individual de las subvenciones concedidas."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, indique la respuesta correcta en relación a la notificación de la resolución de concesión:","La resolución debe notificarse individualmente o mediante publicación en el Boletín Oficial de las Illes Balears.","La resolución debe notificarse individualmente, sin estar prevista la publicación en el Boletín Oficial de las Illes Balears.","La resolución debe notificarse individualmente y también publicarse en el Boletín Oficial de las Illes Balears.","La resolución debe publicarse en el Boletín Oficial de las Illes Balears, sin estar prevista la notificación individual.","c","El artículo 34.1 del Decreto Legislativo 2/2005 establece que la resolución debe notificarse individualmente y también publicarse en el Boletín Oficial de las Illes Balears."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, cuando la Administración decida que la entrega de los fondos públicos a los beneficiarios o la realización de otras funciones de gestión se efectúe mediante una entidad colaboradora:","Ambas partes tienen que formalizar un contrato en el cual tienen que concretarse los términos de la colaboración.","Ambas partes tienen que formalizar un convenio en el cual tienen que concretarse los términos de la colaboración.","Los términos de la colaboración se concretan en las bases reguladoras.","Ambas partes tienen que formalizar una encomienda de gestión en la cual tienen que concretarse los términos de la colaboración.","b","El artículo 35.1 del Decreto Legislativo 2/2005 establece que cuando la Administración decida que la entrega de los fondos públicos a los beneficiarios o la realización de otras funciones de gestión se efectúe mediante una entidad colaboradora, ambas partes tienen que formalizar un convenio en el cual tienen que concretarse los términos de la colaboración."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, indique cuál de las siguientes respuestas no es una obligación de las entidades colaboradoras:","Recibir de la entidad concedente los fondos recibidos de acuerdo con los criterios establecidos en las normas reguladoras de la subvención o ayuda.","Entregar a los beneficiarios los fondos recibidos de acuerdo con los criterios establecidos en las normas reguladoras de la subvención o ayuda.","Verificar, si procede, el cumplimiento y la efectividad de las condiciones para su otorgamiento.","Justificar la aplicación de los fondos percibidos a la entidad concedente.","a","El artículo 36.1 del Decreto Legislativo 2/2005 establece que recibir de la entidad concedente los fondos recibidos de acuerdo con los criterios establecidos en las normas reguladoras de la subvención o ayuda no es una obligación de las entidades colaboradoras."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, indique, con carácter general, cuando se debe realizar el pago:","El importe de las subvenciones se tiene que abonar, una vez notificada la resolución de concesión. ","El importe de las subvenciones se tiene que abonar, indistintamente una vez notificada la resolución de concesión o una vez justificado el cumplimiento de la finalidad. ","El importe de las subvenciones se puede abonar cuando lo considere el órgano concedente.","El importe de las subvenciones se tiene que abonar, una vez justificado el cumplimiento de la finalidad para la que se concedieron.","d","El artículo 37.1 del Decreto Legislativo 2/2005 establece que, con carácter general, el importe de las subvenciones se tiene que abonar, una vez justificado el cumplimiento de la finalidad para la que se concedieron."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, ¿cuándo se entenderá del todo justificada la aplicación de los fondos percibidos?","Cuando se haya acreditado, como mínimo, el importe de la subvención recibida.","Cuando se haya acreditado, como mínimo, el importe del proyecto de actuación que sirvió de base a la concesión de la subvención.","Cuando se haya acreditado, como máximo, el importe de la subvención recibida.","Cuando se haya acreditado, como máximo, el importe del proyecto de actuación que sirvió de base a la concesión de la subvención.","a","El artículo 38.1 del Decreto Legislativo 2/2005 establece que se entenderá del todo justificada la aplicación de los fondos percibidos cuando se haya acreditado, como mínimo, el importe de la subvención recibida."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, indique la respuesta incorrecta en relación a la obligación de documentación de la justificación de los fondos recibidos por parte del beneficiario:","Puede acreditarse dicho gasto por módulos","Puede acreditarse dicho gasto mediante cuenta justificativa del gasto realizado.","Puede acreditarse dicho gasto mediante la presentación de estados contables.","Puede acreditar estar exento de justificación de acuerdo con la legislación vigente.","d","El artículo 39.1 del Decreto Legislativo 2/2005 establece que no existe la posibilidad de acreditar estar exento de justificación de acuerdo con la legislación vigente."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, en el supuesto de adquisición de bienes inmuebles, además de la justificación general de la aplicación de fondos:","Debe aportarse escritura pública de compra-venta para garantizar el valor del inmueble.","Debe aportarse inscripción en el registro de la propiedad para garantizar el valor del inmueble.","Debe aportarse certificado de tasador independiente debidamente acreditado e inscrito en el correspondiente registro oficial.","Debe aportarse, como mínimo, una opción de compra del inmueble.","c","El artículo 40.1 del Decreto Legislativo 2/2005 establece que en el supuesto de adquisición de bienes inmuebles, además de la justificación general de la aplicación de fondos, debe aportarse certificado de tasador independiente debidamente acreditado e inscrito en el correspondiente registro oficial."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, indique cuál de los siguientes gastos no serán gastos subvencionables en ningún caso:","Los gastos de asesoría jurídica.","Los intereses deudores de las cuentas bancarias.","Los gastos notariales.","Los gastos periciales para la realización del proyecto subvencionado.","b","El artículo 41.1 del Decreto Legislativo 2/2005 establece que los intereses deudores de las cuentas bancarias no serán gastos subvencionables en ningún caso."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, indique cuál de los siguientes gastos no serán gastos subvencionables en ningún caso:","Los gastos financieros.","Los gastos de procedimientos judiciales.","Los gastos de asesoría financiera.","Los gastos registrales.","a","El artículo 42.1 del Decreto Legislativo 2/2005 establece que los gastos financieros no serán gastos subvencionables en ningún caso."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, indique cuál de los siguientes no es un medio de comprobación del valor de mercado de los gastos subvencionados por parte de la administración:","Cotizaciones en mercados nacionales y extranjeros.","Estimación por referencia a los valores que figuren en los registros oficiales de carácter fiscal.","Precios estimados por el órgano concedente.","Tasación pericial contradictoria.","c","El artículo 43.1 del Decreto Legislativo 2/2005 establece que los precios estimados por el órgano concedente no son un medio de comprobación del valor de mercado de los gastos subvencionados por parte de la administración."
"De acuerdo con el Decreto Legislativo 2/2005, la tasación del perito del beneficiario servirá de base para el cálculo de la subvención cuando la diferencia entre el valor comprobado por la Administración y la tasación practicada por el perito del beneficiario:","Es inferior a 120.000 euros y al 10% del valor comprobado por la Administración.","Es inferior a 100.000 euros y al 20% del valor comprobado por la Administración.","Es superior a 120.000 euros y al 10% del valor comprobado por la Administración.","Es superior a 100.000 euros y al 20% del valor comprobado por la Administración.","a","El artículo 44.1 del Decreto Legislativo 2/2005 establece que la tasación del perito del beneficiario servirá de base para el cálculo de la subvención cuando la diferencia entre el valor comprobado por la Administración y la tasación practicada por el perito del beneficiario es inferior a 120.000 euros y al 10% del valor comprobado por la Administración."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, la administración concedente debe comprobar el cumplimiento de la finalidad de la subvención mediante acta o informe de comprobación material:","Para pagar las subvenciones de capital superiores a 100.000,00 euros.","Para pagar las subvenciones de capital superiores a 200.000,00 euros.","Para pagar las subvenciones de capital superiores a 300.000,00 euros.","Para pagar las subvenciones de capital superiores a 500.000,00 euros.","b","El artículo 45.1 del Decreto Legislativo 2/2005 establece que la administración concedente debe comprobar el cumplimiento de la finalidad de la subvención mediante acta o informe de comprobación material para pagar las subvenciones de capital superiores a 200.000,00 euros."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, la liquidación de la subvención se dictará y notificará en el plazo de prescripción de:","Cuatro años a contar desde la presentación de la justificación por la persona o entidad interesada o, en su caso, desde el día siguiente del plazo máximo para presentarla.","Tres meses a contar desde la presentación de la justificación por la persona o entidad interesada o, en su caso, desde el día siguiente del plazo máximo para presentarla.","Dos años a contar desde la presentación de la justificación por la persona o entidad interesada o, en su caso, desde el día siguiente del plazo máximo para presentarla.","Seis meses a contar desde la presentación de la justificación por la persona o entidad interesada o, en su caso, desde el día siguiente del plazo máximo para presentarla.","a","El artículo 46.1 del Decreto Legislativo 2/2005 establece que la liquidación de la subvención se dictará y notificará en el plazo de prescripción de cuatro años a contar desde la presentación de la justificación por la persona o entidad interesada o, en su caso, desde el día siguiente del plazo máximo para presentarla."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, indique cuándo procede la revocación de la subvención:","Cuando la resolución se ha concedido de forma inválida o no ajustada a derecho.","Cuando el beneficiario solicita la revocación de la subvención.","Cuando, después de la resolución de concesión ajustada a derecho, el beneficiario incumple las obligaciones o los compromisos contraídos a los que se halla condicionada la eficacia del acto de concesión de la subvención.","Cuando el beneficiario no esté al corriente del pago de las obligaciones fiscales.","c","El artículo 47.1 del Decreto Legislativo 2/2005 establece que procede la revocación de la subvención cuando, después de la resolución de concesión ajustada a derecho, el beneficiario incumple las obligaciones o los compromisos contraídos a los que se halla condicionada la eficacia del acto de concesión de la subvención."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, indique en cuál de los siguientes casos no procede el reintegro de las cantidades percibidas:","Cuando hay incumplimiento total o parcial del objetivo, de la actividad o del proyecto.","Cuando hay incumplimiento de la obligación de justificación o justificación insuficiente.","Cuando para la obtención de la subvención se hayan falseado las condiciones requeridas para ello u ocultado aquéllas que lo hubieran impedido y cualquier otro supuesto que de lugar a la anulación de la resolución de concesión.","Cuando se reciban subvenciones compatibles, cuyo importe no alcance una cuantía que supere el coste de la actividad que el beneficiario debe realizar o el valor de la situación objeto de financiación.","d","El artículo 48.1 del Decreto Legislativo 2/2005 establece que no procede el reintegro de las cantidades percibidas cuando se reciban subvenciones compatibles, cuyo importe no alcance una cuantía que supere el coste de la actividad que el beneficiario debe realizar o el valor de la situación objeto de financiación."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, indique cuál de las siguientes es una infracción leve:","La presentación fuera de plazo de las cuentas justificativas de la aplicación de los fondos percibidos.","El incumplimiento de las condiciones establecidas que alteren sustancialmente los fines para los que la subvención fue concedida.","La falta de justificación del empleo dado a los fondos recibidos una vez transcurrido el plazo establecido para su presentación.","La obtención de la condición de entidad colaboradora falseando los requisitos requeridos en las bases reguladoras de la subvención u ocultando los que la hubiesen impedido.","a","El artículo 49.1 del Decreto Legislativo 2/2005 establece que la presentación fuera de plazo de las cuentas justificativas de la aplicación de los fondos percibidos es una infracción leve."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, indica cuál de las siguientes es una infracción grave:","La presentación fuera de plazo de las cuentas justificativas de la aplicación de los fondos percibidos.","El incumplimiento de las condiciones establecidas que alteren sustancialmente los fines para los que la subvención fue concedida.","La presentación de cuentas justificativas inexactas o incompletas.","El incumplimiento de las obligaciones de conservación de justificantes o documentos equivalentes.","b","El artículo 50.1 del Decreto Legislativo 2/2005 establece que el incumplimiento de las condiciones establecidas que alteren sustancialmente los fines para los que la subvención fue concedida es una infracción grave."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, indica cuál de las siguientes es una infracción grave:","La resistencia, obstrucción, excusa o negativa a las actuaciones de control financiero.","La falta de justificación del empleo dado a los fondos recibidos una vez transcurrido el plazo establecido para su presentación","El incumplimiento de obligaciones de índole contable o registral.","El incumplimiento de las obligaciones de conservación de justificantes o documentos equivalentes.","a","El artículo 51.1 del Decreto Legislativo 2/2005 establece que la resistencia, obstrucción, excusa o negativa a las actuaciones de control financiero es una infracción grave."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, indique cuál de las siguientes es una infracción muy grave:","La obtención de la condición de entidad colaboradora falseando los requeridos en las bases reguladoras de la subvención u ocultando los que la hubiesen impedido","La falta de justificación del empleo dado a los fondos recibidos una vez transcurrido el plazo establecido para su presentación.","El incumplimiento de las condiciones establecidas alterando sustancialmente los fines para los que la subvención fue concedida.","La obtención de una subvención falseando las condiciones requeridas para su concesión u ocultando las que la hubiesen impedido o limitado.","d","El artículo 52.1 del Decreto Legislativo 2/2005 establece que la obtención de una subvención falseando las condiciones requeridas para su concesión u ocultando las que la hubiesen impedido o limitado es una infracción muy grave."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, indique cuál de las siguientes respuestas no indica un posible infractor en materia de subvenciones:","Las entidades colaboradoras.","Los beneficiarios de subvenciones.","Las personas o entidades, relacionadas con el objeto de la subvención o su justificación, obligadas a prestar la colaboración.","Las personas sin capacidad de obrar.","d","El artículo 53.1 del Decreto Legislativo 2/2005 establece que las personas sin capacidad de obrar no son posibles infractores en materia de subvenciones."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, las infracciones previstas en la presente Ley prescribirán:","En el plazo de cuatro años.","En el plazo de dos años.","En el plazo de un año.","En el plazo de cuatro años las muy graves, dos años las graves y un año las leves.","d","El artículo 54.1 del Decreto Legislativo 2/2005 establece que las infracciones previstas en la presente Ley prescribirán en el plazo de cuatro años las muy graves, dos años las graves y un año las leves."
"De acuerdo con el Decreto Legislativo 2/2005, de 28 de diciembre,  por el que se aprueba el texto refundido de la Ley de subvenciones, las sanciones previstas en la presente Ley prescribirán:","En el plazo de cuatro años.","En el plazo de tres años.","En el plazo de dos años.","En el plazo de cuatro años las muy graves, dos años las graves y un año las leves.","a","El artículo 55.1 del Decreto Legislativo 2/2005 establece que las sanciones previstas en la presente Ley prescribirán en el plazo de cuatro años."
